Random Complaint,Tone Severity,Case Severity
"Reported false information to XXXX and XXXX XXXX This is causing me problems from obtaining personal and business checking or savings account or getting my current accounts closed. XXXX XXXX  has provided a document saying it was verified but Bank of america just provided my electronic signature of agreeing to the terms when first opening the account. This account by bank of america was closed because there was a check that was not deposited by me, or signatured by me uploaded to my account. I received a call from bank of america and confirmed that I had no knowledge and didn't do it. A few days later they decided to close my account after they cancelled/declined the check the day of me mentioning it was unauthorized. This company had no loss or even investigated it properly as in to see where was the check deposited from including IP ADDRESS, LOCATION OR FULLY VIEW THE SIGNATURE THAT WAS PUT ON THE CHECK. THIS FRAUDLENT INFORMATION LISTED ON MY CREDIT SHOULD BE REMOVED. Furthermore, I would like to remind you of your obligation under the Fair Credit Reporting Act ( FCRA ) as outlined in 15 USC 1681i. If this in question is reported to any credit reporting agency, you are required to investigate and verify the accuracy of this upon my request. Inaccurate or unverified information must be promptly removed or corrected. Source of Information : BANK OF AMERICA ; XXXX XXXX XXXX, XXXX, FL XXXX Phone Number : XXXX For : SUSPECTED FRAUD ACTIVITY ; REPORT IS DISPUTED BY CONSUMER ( S ), AND VERIFIED ACCURATE BY XXXX ; Reported Name : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX FL XXXX Reported XXXX : XXXX License : State : Date of Closure : XXXX # : XXXX / XXXX Status : NO MONETARY LOSSClosure Status Date : XX/XX/ Dispute Case ID : XXXX Bank Name : Bank of America Reference # : XXXX",2,2
"Despite multiple written requests, the unverified account/s listed below continue to report on my file. The late payments are inaccurate, the payments were made on time. Please update the late payment markings to show correct payment history. Update the account/s below : BANK OF AMERICA XXXX",2,1
"Dear Sir/Madam, I have a Best Buy Visa Store Card which offers promotional purchases with zero interest rates which expires on a certain agreed upon date. 
There have been several times where the "" automated '' system deliberately allocates payments towards higher balanced items rather than the next expiring promotional balance. 
To safe guard against this, I can not always rely on the billing statements which indicate how much I need to pay in total to avoid interest. 
Citibank which services Best Buy XXXX Store Card has a feature online where you can view exactly the amount owed on a specific promotional balance. 
This is greatly useful as it updates after a payment is made. 
Recently in the last four ( 4 ) to six ( 6 ) billing cycle this feature has been "" offline ''. 
When I contacted customer support using their "" messaging '' system they had failed to read the issue and copy pasted a generic response. 
When I called in I had to wait around an hour to get in touch with a representative who confirmed that the payments made paid off the promotional balances. 
I informed the representative that the feature which made this process easier has been "" offline '' for several months which was concerning to me as a consumer ; especially when there is an automated allocation system which prefers paying off higher balanced promotions rather than the next expiring one. This is anti consumer is designed by Citibank to insure purchasers pay monthly expecting that the amounts go to the next balance but then when it is too late they find out that the allocation system did not do so and they end up paying Citbank interest when it could easily be avoided. 
The response I received from the Citibank 's messaging system was not only frustrating but also concerning. They have no concern of whether the customer 's issue was resolved ; instead they exist to enforce Citibank policy without knowing that Consumers have certain recourses when "" Company policy '' is inherently anti consumer. 
I have attached the following as evidence : Best Buy XX/XX/2023 statement ( See Exhibit A ) Citibank Customer Service message ( See Exhibit B ) Citibank feature which is no longer operating ( See Exhibit C )",2,1
"a representative from the XXXX XXXX called several times over the last 6 months or so. They claim I owe debt to wells fargo, they have my social security number and previous addresses. they claim the debt to be XXXX XXXX XXXX XXXX  it does not exist. they will not send me information about the debt and are threatening law suits and bank seizures.",2,2
"According to the Fair Credit Reporting Act 15 USC 1681 section 602 a states "" There is a need to insure that consumer reporting agencies exercise their grave responsibilities with fairness, impartiality, and a respect for the consumers right to privacy. '' XXXX and XXXX are consumer reporting agencies and I am the Consumer. I have the right to make sure my private information isn't shared which is backed by 15 USC 6801 which states '' It is the policy of the Congress that each financial institution has an affirmative and continuing obligation to respect the privacy of its customers and to protect the security and confidentiality of those customers nonpublic personal information. '' ( Furnisher of information to credit agencies ) is a financial institution by definition under that title. 15 USC 1681 section 604 a section 2 states that "" In general Subject to subsection ( c ), any consumer reporting agency may furnish a consumer report under the following circumstances and no other : in accordance with the written instructions of the consumer to whom it relates. '' ( Furnisher of information to credit agencies ) the financial institution and the Consumer reporting agencies XXXX and XXXX do not have my consent to furnish this information and they surely do not have my written consent. Any and all consent to XXXX, XXXX, ( Furnisher of information to credit agencies ) whether it be verbal, non-verbal, written, implied or otherwise is revoked. 15 USC 6802 ( b ) ( c ) states that "" A financial institution may not disclose nonpublic personal information to a nonaffiliated third party unless the consumer is given an explanation of how the consumer can exercise that nondisclosure option. '' ( Furnisher of information to credit agencies ) Never informed me of my right to exercise my nondisclosure option. Not only that 15 USC 1681C ( a ) ( 5 ) states '' Except as authorized under subsection ( b ), no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. '' This account is an adverse item they are reporting again without my permission which is against the law. 15 U.S. Code 1681s2 ( A ) ( 1 ) A states "" A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate. 15 U.S. Code 1681e states '' Every consumer reporting agency shall maintain reasonable procedures designed to avoid violations of section 1681c of this title and to limit the furnishing of consumer reports to the purposes listed under section 1681b of this title. XXXX and XXXX are not maintaining reasonable procedures. Also 12 CFR 1016.7 states that "" A consumer may exercise the right to opt out at any time. '' I am opting out of your reporting services. 
I also requested all corporations to fill out a form 1020 and return back to me and still haven't gotten it",2,2
"I purchased vhicle and paid a big down payment which i didnt see anything dropping down on the car payment they said the biggfer the down payment better for lower ineterest and everything once that was done payment stayed at XXXX. 
I called numerous times trying to lower the payment and seeing how to change due date they said if i cant refinance to surrender and i said how would this affect me they said no worries it would only affect your credit. I said ok and they took the vhicle with no documentation provded for me to read no explanation and days later i get a call from an agent on XX/XX/2023 saying she is going to report me to IRS and IRS will make sure to charge me i feel threatened by her attittude and she was being over agressive with me. I explained i know my rights and explained tried telling her i didnt understand why tell after they took my vhicle they were explaining so agressively things i was never told and she didnt give me options she was just trying to take my money for over XXXX. 
Which i dont have. She said i will report you to IRS i dont feel a bank rep should be allowed to speak to any one the way she did not knowing if i have heart problems or high blood pressure i felt sick and unable to defend myself at the same time i explained i was fired from my job in XX/XX/2023 they said were sorry we cant help in any matter and i was even trying to continue making high payments",2,2
Im on XX/XX/XXXX and deposit a check for {$13000.00}. They gave me a print out saying that I am XXXX would be a be available. I am on the XXXX and then the rest on the XXXX. I came in on the XXXX and they said they were putting a hold on it till the XXXX. Well I explain how God put me in a hardship and I resent to back to the bank where I initially deposited it talk to speak with the bank branch manager who directed me to call the holding department because its the only people that can not release the hold because on my lawyers and another financial institution is and the bank the check is fine and good so they told me I had to put in an expedition paperwork and it would take 48 hours I didnt either that money would be my account or they would have a email them answering me. It has now been 48 hours and they have neither.,2,2
XXXX  company  has let someone open an account in my name twice I contacted them several. times letting them know it was fraud and to close the account asap and they won't close account,2,3
"I deposited money into the ATM. The ATM stopped working after I put my money in. They did a report. They told me that I owe back {$700.00} after they issued me what I told them I put in now theyre telling me that is not correct, but it is absolutely correct so now they are demanding to take the money back. They are stealing my money. Basically I am a XXXX  I deposit large amount of cash all the time Im not sure whats happening but its not right.",2,2
"Found out near the end of XXXX that my XXXX XXXX XXXX tanked by XXXX points. A possible result for the decrease was from an opened credit account in XX/XX/XXXX that opened for 2 years and ended on a late payment of 120 days in XX/XX/XXXX. 

From my best recollection, I was not physically in the United States for longer than 20 days, and am unable to open a credit account as I did not have an SSN and only visited the US as a dependant with my family using a visitor visa before XXXX. 

From this, I believed it to be a mistake or fraudulent account and attempted to dispute this with XXXX, I received a result from XXXX on XX/XX/XXXX stating that the dispute had been denied as BoFA presented "" evidence '' and certified that the information was accurate. 

I was guided to find the "" evidence '' from the company that reported the information "" BoFA '', and attempted to do so in person at a local branch. The investigation was escalated to the Texas main branch of BoFA, but the personnel stated that they could not find a record of the said credit card account being opened or closed from XXXX. 

I brought the new information to XXXX with a new dispute claim and requested a review, requesting the evidence that BoFA would show to XXXX to refute my dispute. 

The result from XXXX on XX/XX/XXXX was various other records from my credit history being removed, however, the Credit Card account has not been removed. They also did not provide any information on what evidence BoFA used to certify that the information was accurate.",2,3
Account payment history and date of first delinquency are incorrect. This account is too old and obsolete and should not be reported to my consumer reports. They are reporting inaccurate information to my consumer reports and are causing me damage.,2,2
"On XX/XX/2023, I made a purchase of 14 items with an online retail vendor for {$290.00}. The same day, I received a shipping confirmation generated by the vendor, as well as a XXXX shipping confirmation with a US postal service tracking number. On XX/XX/XXXX, I tracked the whereabouts of the shipment through the USPS website and saw that the package status was : "" Pre-shipment label printed; USPS is awaiting shipment from sender. '' I reached out to the vendor regarding the shipping status and am informed that "" Processing time for orders is 7-10 business days. '' I reply that the shipping confirmation suggests that the order has already been processed and is now en route to the customer ( me ). However, the carrier has not received the package yet and I am requesting the status of the shipment, not an unprocessed order. Again, the vendor states that they "" just print the shipping labels as soon as the order comes in... but the website shows that order processing takes 7-10 business days. '' Having been a long-time XXXX member and former seller, I know that XXXX holds the buyer funds until a seller ships purchased goods. Yet, I continue to wait several days for an update. After 10 business days from the time I placed the order, I contact the vendor. Vendor gives me the runaround several days until I request a refund twice. When it becomes apparent that I'm not getting anywhere with the vendor, I dispute the charge through Bank of America ( issuer ) on XX/XX/XXXX. After that, I open a fraud case directly with XXXX against the vendor, since the vendor used XXXX as the payment XXXX and generated a shipping confirmation to me through them, even though she didn't ship the items. On XX/XX/XXXX, Bank of America notifies me that they have filed the dispute with the vendor 's bank. I receive no other notifications since that time. Today, XX/XX/XXXX, I check the status of my dispute through Bank of America and see that the claim has been closed with a status of "" Resolved - Claim not Paid '', with no explanation provided!! I still have not received my order and am out of the money. Now I'm opening this claim against Bank of America for closing the claim with no notification to me -- I just happened to stumble upon it -- and no explanation for the denial nor follow up. As the victim, I am not willing to eat the loss.",2,2
XXXX of last year Bank of America offered a program to make a payment plan to bring the balance on my credit card down. I met all the requirements on my payments as well as making future payments. I recently tried to use the card today to catch an XXXX. There was an error message so I called customer service. They claimed the account had been closed since XX/XX/2023 and I should have gotten a letter by the mail. I didnt receive any letter nor an email or notification within the Bank of America app inbox of the account being closed. I have been making on time payments of {$81.00} by the XXXX of the month via the mobile app.,2,1
"I have a checking account with Wells Fargo bank in XX/XX/XXXX, I discovered the somebody taking money from my account by XXXX transactions for any reason I dont know this person never in my life, dont know who is XXXX XXXX but he or she take {$800.00} and I was like 3 times into the bank and they dont want to help me, I really want to help me Im XXXX I have XXXX XXXX XXXX  Im not working and I need that money to pay the Mortgage bill, I will appreciate if you help me with this situation XXXX XXXX XXXX XXXX XXXX",2,3
"My Citi credit card was closed on XX/XX/XXXX. The reason given was returned or late payments. 

I had my old XXXX XXXX XXXX account still set as my auto pay account on accident. I had been making all my manually payments via my XXXX XXXX account on time for the last few months. 

When XXXX XXXX XXXX was taken, it attempted to pull from my old account and the payment was returned. I immediately fixed this issue by deleting the XXXX account and made the required payment via my XXXX XXXX account. 

However, Citi refused to re-open my account. 

While I made the mistake for leaving my old bank account on file, I dont think its necessary to close my credit card due to this mistake. I have payed everything on time since I became a customer. I rely on this credit card for critical monthly purchases.",2,1
"I have opened a mortgage account with CITI bank USA, and I was asked to open up also a CITI checking account, and transfer XXXX to the account to get 0.1 % rate reduction in my mortgage. However, after opening my account, the account started to produce an error, called "" MFA ''. I reached the CITI bank customer services multiple times and spent many hours waiting to resolve this error. However, at the end I lost my access to transfer money to CITI account, and my XXXX is also get blocked in the account. When I called them again, they said there is no fraud or alert in your account and you just should wait! and it is what I keep hearing for the last 10 business days with no resolution. 

Amounts which is blocked is XXXX The last time that I talked with customer service is : XX/XX/XXXX  The solution by the customer service : Wait longer The issue : the website keeps producing MFA error and block any money transfer.",2,2
"On XX/XX/XXXX I visited Macy 's regarding a furniture purchase. I left with a sample and business card. Two days later when I decided to make the purchase I called Macy 's credit card ser ice team to increase my credit limit for the expected value of the purchase, which was {$3000.00}. I then called the store to purchase over the phone. Store Macy 's XXXX XXXX XXXX XXXX Sales Colleague XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 

The limit requested was {$3000.00} this should be on a recorded line in addition to my call for the purchase. The transaction total was {$3000.00}, which I question for being over the limit. I was advised it was not a big deal. I specifically declined fabric protection and it was stated I could purchase at a later date. XXXX sent an email on XXXX and requested I approve the transaction, I stated yes. The delivery was scheduled for XX/XX/XXXX and she mailed the receipt. Shortly after the delivery I noticed a second email from Macy'sfrom an alternate email address with a higher transaction amount that had the fabric protection added for a total {$3300.00} ; consequently, putting me over my credit limit by 13 %, there was no request to increase my credit limit or red flag that the transaction was pushed through. The Store employee makes commission on this product and put my credit reporting in a negative situation for an over limit. Once the statement arrived on XX/XX/XXXX I called Macy 's to initiate a dispute and they advised it can take 2 cycles or 60 days. I called back on XXXX and requested the opportunity to provide email proof and rationale regarding my credit limit increase to support the dispute after nearly 2 hours on the phone I was advised they could not update the transaction. I also requested the opportunity to speak with management and I was transferred to a furniture credit associate XXXX, that was kind ; however unable to address my concern.",2,2
I was not able to access my loan online and that caused me to miss a payment and my credit score dropped severely.,2,2
"I currently hold a mortgage loan through Wells Fargo Home Mortgage XXXX XXXX XXXX XXXX XXXX, IA XXXX I was had automatic payments setup for twice a month. For the month of XXXX partial payment was taken out of my account and added to my mortgage account on XX/XX/14 {$540.00}. I cancelled the next auto draft because I was changing banks. Instead of Wells Fargo applying the partial payment to my mortgage, refunded it to my account or allowing me to pay the remainder {$540.00} Wells Fargo instead applied the payment to late fees without my consent, without my authorization. Those funds that were taken out of my account was strictly for principal, interest and escrow not any late/outstanding fees.",2,2
Bank of america call me a XXXX saying I'm not was in hospital but I did till XXXX when I sign up it say to get XXXX points and XXXX XXXX XXXX  but bank of america give me hard time when I was XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX  they give me alot of stress but I want my XXXX and that XXXX  points that all,2,1
"I received a direct deposit to my WellsFargo checking account and it still has not posted after 3 business days. Direct deposits received before 2pm are supposed to post the next business day. What happens is WellsFargo shows the customer "" available '' funds face up when logging into the account, but what is shown is actually not true. In the background, the account has a lower balance than what WellsFargo shows the customers when funds are "" pending '' and not "" posted ''.

This has been an issue for me in the past where WellsFargo has charged fees for overdraft even when showing me that I have available funds. No one on the phone was able to help. I had to go to branch manager and it took several conversations and over an hour to straighten out the situation. 
Again, WellsFargo is not posting direct deposit funds in a timely manner.",2,2
The existence of a derogatory rating on my account is causing me significant concern. I am deeply worried about its potential impact on my credit. It has already resulted in the denial of a recent loan application and an increase in the interest rates on my existing credit accounts. I want to emphasize the severe financial and emotional distress that this negative rating has caused me and will continue to cause until it is resolved.,2,3
"I received an email at XXXX in the morning on XXXX, XX/XX/XXXX indicating that someone had attempted to pull out {$300.00}. From the very moment the money hit my account. When I asked them to provide me information on how that was even possible, they had nothing for me. They just shrugged their shoulders and said this is happening to a lot of people. Right now. I have multiple bank accounts across multiple banks in my entire XXXX  years of existence. Never one time has this happened until today which tells me it is exclusively a problem with their prepaid cards. They don't care about these cards because they're for people on unemployment or XXXX and therefore not important to them because they're not making a ton of money off of these accounts. Does anyone else see the problem there in that? Apparently my biggest crime is being poor. They told me verbatim. You can request the recordings of the phone calls that it is not their job to monitor our accounts XXXX hours a day. So I post you this question. What is their job then? What is the purpose of a bank if not to have a place to keep your money safe.",2,2
"On XX/XX/2023 at XXXX I call Chase Bank 's customer service line to ask about an incoming international wire transfer. The representative said I would only be charged {$15.00} by Chase Bank. I asked specifically about intermediary bank fees and was told that Chase does not use any intermediary banks so there would not be any intermediary bank fees. 
I then opened an account at Chase Bank to receive the {$40000.00} wire transfer. When I received the money on XX/XX/XXXX, {$120.00} was missing. When I inquired why, a different Chase representative said that intermediary bank fees had been charged and that the initial information was wrong and that the bank would not refund the fees despite the misleading information that caused the charge.",2,2
"Last year, I set up autopay on an account. I was having issues doing so online so I called in and got some help to set it up. Apparently, it was set up to the wrong account and was pulling from the savings monthly instead of the checking account which was my original intention. This led to a payment this year being returned due to insufficient account balance in the savings account. The payment is so small, {$61.00} a month, so really making this payment is no problem for me at all. I called after I found out the payment did not go through and immediately made the account current as I have a perfect payment history on all my accounts. I had the agent switch over the auto payment system to my checking account. I thought that by the following month, it would have the subsequent payment go through as well. I also found it really misleading for the app to say XXXX XXXX and then for the payment not to be activated for the following month, leading me to think everything was good and no additional action was needed. 

I want to write in to ensure that the 21 month period 0 % APR extension offer will not be withdrawn and will be honored for this account since it seems there were some misunderstanding and confusion regarding the auto payment system that caused these late payments, rather than a lack of sufficient funds.",2,1
"I received a letter from Wells Fargo stating my variable rate would increase in XXXX, but they charged the new rate in XXXX. I was still entitled to the old rate.",2,2
"In XXXX of XXXX  I opened a savings account with Citibank over the phone, they representative inputted an incorrect address causing them to be unable to verify my address. Id already deposited {$5500.00} when they decided to close my account. 
Despite me sending multiple documents to prove my correct address, they kept send the balance of my accounts to the wrong address. Eventually they were able to send it to the right address, but they did not send the entire balance. 
I am still owed {$500.00}, after months of calling and being told to call back, I still have not received the rest of my money.",2,2
"Wells Fargo is operating in FRAUD against my ESTATE and TRUST claim ownership in my personal property never acquired with them however the mortgage note was fraudulently unlawfully sold to them by XXXX XXXX XXXX XXXX which I already 1099 A and 1099 C and hold copy B for also submitted my w4 process to the IRS, I have no business with WELLS FARGO BANK NA and if thus continues we can take this to the Supreme Court as a class action cause it's alot of XXXX XXXX ready to hop on board, this is fraud why the XXXX the CFPB DONT ADDRESS THAT and stop entertaining WELLS FARGO BANK NA foolishness! If they saying I owe them prove it where is the XXXX XXXX XXXX XXXX  documentation bearing my WET INK SIGNATURE prove your claim.",2,3
"I applied for a Bank of America business cash award credit card on XXXX Reference number # XXXX it got denied and regardless of the reason being denied I have the RIGHT to CREDIT, with them holding my access to my securities is security fraud and theyre violating the equal credit opportunity act & consumer credit protection act. The young lady didnt want to provide her name but the call was recorded and monitored and I told her to read to me where it say in the acts I could not be extended credit because of my credit history? She went silent then rush and gave me the reference number then disconnected the phone on me. I know Im entitled to credit regardless of my credit history this is the reason Im reporting Bank Of America lending team/department . 
Please help resolve the issue quick as possible thank you, XXXX XXXX attorney in fact for the all XXXX  name XXXX XXXX XXXX.",2,2
