Original Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
"I responded by phone to a mail promotion from Citibank to open a Citi XXXX XXXX XXXX Account. I used the personal invitation code provided in the document XXXX. The promotion offered a {$450.00} bonus on new funds over {$50000.00} that remained there for 60 days. The application was received by them for the opening of account XXXX on XXXX XXXX XXXX Funds well in excess of that amount were deposited on XX/XX/XXXX ( per statement ) remaining there until XX/XX/XXXX. I called several times inquiring when my bonus would be paid and on XX/XX/XXXX was told ( by XXXX ) I met all the requirements and would see the bonus in no more that 15 days. I then received a letter saying I did not open the right kind of account, although all I knew from the mailing was to open the account as titled in the mailing using the invitation code to qualify. I called to appeal speaking with XXXX ( XXXX ) and received a letter mentioning a promotion code not mentioned in the mailing. I called again to complain and again received the same letter. 
After 5 months of calling Citi for the {$450.00} I transferred the balance to another bank but feel I fully met the terms of their offer and am entitled to the bonus.",2.0,1.0,"I recently opened an account with Citibank in response to a promotion they sent me offering a bonus of {$450.00} on new funds over {$500,000}. I followed the instructions provided in the mailing and deposited the required funds, however I have not received my bonus despite multiple attempts to contact customer service.

I have spoken with several representatives who have given me conflicting information about whether or not I meet the requirements for the promotion, and I have even been told that I opened the wrong kind of account. Despite this, I feel confident that I have met all the terms of the offer and am entitled to my bonus.

I have been waiting over five months to receive my bonus, which is clearly an unacceptable amount of time. I have tried to resolve this issue multiple times, but have only received the same generic letters in response. At this point, I feel that my experience with Citibank has been nothing short of frustrating and disappointing.

I demand that Citibank investigate this matter immediately and provide me with a clear resolution to this issue. I refuse to accept any further delays or excuses for not receiving my bonus, and I expect to see it deposited in my account within the next week. If this is not resolved promptly, I will be forced to take legal action against Citibank.",2.0,2.0,,"I am extremely frustrated with my recent experience with Citibank. I responded by phone to a mail promotion from Citibank to open a Citi XXXX XXXX XXXX Account. The promotion offered a {$450.00} bonus on new funds over {$50000.00} that remained there for 60 days. Despite following all instructions provided in the mailing and depositing well over the required amount, I have yet to receive my bonus.

I have spent countless hours trying to resolve this issue with Citibank representatives, but my attempts have been met with frustration and a complete lack of progress. I have called on multiple occasions to inquire about the status of my bonus, only to be told that I have not opened the right kind of account, despite all instructions provided in the mailing clearly stating otherwise.

I have also received letters from Citibank stating that a promotion code was not mentioned in the mailing, which is entirely false. I know for a fact that the promotion code was included in the mailing and that I used it to open the account as instructed.

After 5 months of trying to resolve this issue with no success, I have decided to transfer my balance to another bank. I feel that Citibank has completely failed to meet their obligations under the terms of their promotion and that I am entitled to the bonus that I was promised.

I demand that Citibank immediately pay me the {$450.00} bonus that I am owed, or I will be forced to take legal action against them. This is a severe issue that has significantly impacted my overall experience with Citibank and I will not rest until this matter is resolved.

Tone severity = 2.0
Case severity = 2.0",3.0,1.0,,2.0,3.0,2.0,3.0,2.0,2.0
Tried sending {$400.00} from my XXXX XXXX XXXX account via XXXX to my Bank of America account and it stated payment would post to my Bank of America account today XXXX but IT NEVER DID SO WHERE IS MY {$400.00} at then!!!!????,2.0,2.0,"I'm sorry to hear about your recent experience with Bank of America. It is unacceptable for your payment to not post as expected, especially when you were expecting it to arrive today! We understand how frustrating this must have been for you, and we want to assure you that we are taking this matter seriously. We will investigate the issue and work to resolve it as soon as possible. In the meantime, please let us know if there is anything else we can do to assist you with this situation. Thank you for bringing this to our attention, and we apologize for any inconvenience this may have caused.

This complaint has a tone severity of 2.0 and case/event severity of 3.0 because it escalates the original issue by expressing frustration, anger, and disappointment towards Bank of America for not posting the payment as expected. The customer also demands an explanation and assistance in resolving the issue.",2.0,3.0,,"I am extremely disappointed in the poor customer service I have received from Bank of America. I recently attempted to send {$400.00} via wire transfer from my account XXXX XXXX XXXX to my Bank of America account and was assured that it would post on the specified date of XXXX. However, when it didn't show up in my account by the promised time, I reached out to customer service only to be met with unhelpful responses and no explanation for the delay. This has been a stressful and frustrating experience and I demand answers from your team. I am sick of my hard-earned money disappearing without any explanation or resolution. Fix this now! I expect quick and efficient action on this issue and will not accept anything less.",3.0,2.0,,2.0,1.0,2.0,,2.0,3.0
"Wells Fargo reported to XXXX XXXX and XXXX that I had late payments in XX/XX/XXXX and XX/XX/XXXX when my account was closed in XX/XX/XXXX with a XXXX balance and NEVER LATE per the letter from Wells Fargo already sent to me on XX/XX/XXXX, attached. They even sent me a statement saying DO NOT PAY because I had a credit balance, see attached.",2.0,2.0,"Dear Sir/Madam,

I am writing to express my extreme disappointment with the poor customer service I have received from Wells Fargo. My account was closed in XX/XX/XXXX with a XXXX balance and NEVER LATE per the letter from Wells Fargo already sent to me on XX/XX/XXXX, attached. However, despite this, I still received a statement from them saying DO NOT PAY because I had a credit balance, see attached. This is completely unacceptable and shows a lack of understanding on their part.

I have been a loyal customer of Wells Fargo for many years and have always paid my bills on time. However, in XX/XX/XXXX and XX/XX/XXXX, I was late due to unexpected expenses, and my account was closed as a result. This caused a great deal of stress and inconvenience for me, as I had to find a new bank to manage my finances.

Furthermore, the fact that Wells Fargo sent me a statement saying DO NOT PAY is utterly unprofessional and shows a lack of respect towards their customers. It is clear that they do not value the trust and loyalty that their customers have placed in them. I demand that this issue be resolved immediately, and that my account be reinstated with no further action required on my part.

I urge you to take this matter seriously and to investigate the circumstances surrounding my account closure. I will not stand for such poor customer service and will be taking legal action if this is not resolved promptly.

Sincerely,

[Your name]",2.0,3.0,,"I am extremely disappointed with the service I have received from Wells Fargo as of late. Despite my attempts to resolve the issues I have been experiencing with my account, I have been met with nothing but frustration and poor communication from the bank's representatives.

The events that have led to this complaint include my account being closed without notice or explanation, despite my consistent payments and good standing with the bank for years. Furthermore, despite receiving multiple statements and correspondence indicating that I had no outstanding balance on my account, I continue to receive notifications of late payments and outstanding balances.

It is extremely concerning to me that the bank has engaged in fraudulent activities by reporting me for late payments when I have never been late on any payment and have a credit balance. This behavior is not only unethical but also damaging to my credit score and reputation.

I demand an immediate resolution to this matter, and for Wells Fargo to take appropriate action to rectify the damages that have been caused. I will be sure to seek legal advice if necessary to protect myself from further harm.",3.0,2.0,,,,2.0,3.0,2.0,2.0
"Hello, This is in regards to JPMCB AUTO for an account for an auto loan. The account has since then been paid in full. After careful review, the account holder appears to be reporting an inaccuracy in payment history for XX/XX/2017. The payment was paid in full for the entire life of the loan. We called in to address the issue, the person we spoke with claimed to have the data and was happy to send it via mail but never sent anything to us. We later called back 6 weeks in XXXX and XXXX. The person on the phone told us since the account is closed, there is nothing they can do and they're unable to update the payment history. I asked to speak to someone else and or a manager, I was then advised a manager would personally call me back. No one ever contacted me. I believe this information to be inaccurate and is affecting my credit score. Please update the payment history to all 100 % payment history showing all on time payments. The account has since then been closed and has been paid in full. There is no reason to show a late payment any longer.",2.0,2.0,"Dear valued customer, 

We are sorry to hear about your recent negative experience with JPMCB AUTO for your auto loan account. We understand how frustrating it can be when there is an inaccuracy in payment history, and we apologize for any inconvenience this has caused you. 

We take all complaints seriously, and we have reviewed the situation thoroughly. Unfortunately, our records show that payments for the account were made in full on time, and there are no discrepancies in the payment history. 

However, we understand your concerns and want to assure you that we will do everything in our power to resolve this issue as quickly as possible. We will investigate further and work with you to determine if there is a mistake in our records or if there are any other issues that need to be addressed. 

We apologize for any frustration you may have experienced, and we appreciate your patience during this process. Please do not hesitate to contact us if you have any further questions or concerns. 

Sincerely, 

[Your Name]",2.0,3.0,,"Hello,

I am writing to express my extreme frustration with JPMCB AUTO for an account related to an auto loan. Despite paying the loan in full, I have been unable to resolve an issue with an inaccuracy in payment history for XX/XX/2017. The payment was made on time and in full, but the bank has not updated the payment history accordingly.

I have repeatedly tried to address this issue with JPMCB AUTO, but my efforts have been met with no resolution. I spoke with multiple representatives who claimed to have the data and offered to send it via mail, but never did. After calling back 6 weeks in XXXX and XXXX, I was told that since the account is closed, there is nothing they can do and they're unable to update the payment history. I asked for a manager or someone else to help resolve this issue, but no one ever contacted me.

This error is significantly affecting my credit score and has caused me great stress and inconvenience. I demand that JPMCB AUTO correct this error immediately and update the payment history to reflect all 100% payment history showing all on time payments. This issue should not continue to impact my credit score any further.

I urge JPMCB AUTO to take this complaint seriously and resolve it in a timely manner. Failure to do so will result in legal action being taken against the bank.

Sincerely,
[Your Name]",3.0,2.0,,2.0,2.0,2.0,1.0,2.0,3.0
"I called the Wells Fargo XXXX customer sevice number this am to check on my latest debit card withdrawal because it was not showing up online or in the automated system. The customer service representative told me my checking account had been overdrawn by {$700.00} dollars. This is a lie. She said I could talk to her supervisor., but it's on record and there is nothing I can do about it.Again, This is a lie even though it is on record.",2.0,2.0,"Dear [Customer's Name],
I am sorry to hear that your recent experience with our customer service team was not up to your expectations. We understand how frustrating it can be to have an incorrect account balance reflected in our automated systems, and we apologize for any inconvenience this may have caused you.
We take all reports of fraud and errors very seriously and appreciate your bringing this matter to our attention. We want to ensure that your account is accurately reflecting the current balance and that any errors or discrepancies are addressed promptly and efficiently.
To that end, we would like to investigate further into this issue and work with you to resolve it as quickly as possible. Please contact us at [contact information] to discuss how we can assist you in rectifying this matter.
Thank you for your patience and understanding, and we apologize for any harm or inconvenience this may have caused.
Sincerely,
[Your Name]
Tone Severity: 2.0
Event Severity: 2.0",2.0,3.0,,"Dear Sir/Madam,
I am writing this complaint regarding my recent experience with Wells Fargo customer service. I called the customer service number to check on my latest debit card withdrawal that was not showing up in my online account or automated system. The customer service representative informed me that my checking account had been overdrawn by {$700.00} dollars, which is completely false and goes against my records.
I requested to speak with her supervisor, but she refused and told me there was nothing I could do about it. This is a blatant lie and an unacceptable attitude from your customer service representatives. It is clear that you do not take responsibility for your errors and are unwilling to correct them.
As a valued customer of Wells Fargo, I expect better treatment and service. Your behavior has caused me significant distress and loss of trust in your bank. I demand that this matter be resolved promptly and accurately.
Sincerely,
[Your Name]",3.0,2.0,,2.0,2.0,2.0,2.0,2.0,3.0
"I have a citi card that was issued around XX/XX/XXXXXXXX  the thing is the card was sent to a different adress than where i reside ... .Once they corrected that issue and i received my card i began using it at the costco XXXX XXXX XXXXXXXX  XXXX I only used the card 3 times within a day or 2. Once i recived the bill i paid for the purchaes that i made, but i was told that the card was used in many locations and different states. I told them that i had the card in my posession and I did not make the purchaes that were attached to my account. I disputed it with the credit card company, and they denied the claim because they said i still had the card in my posession. I told them that the original card was sent to a different location and that could be why other charges we added to my account ... ... ..I asked them to look up the initial adress where the card was first mailed to and thet told me they do not see any other address on file ....",2.0,2.0,"Hello,
I am writing to express my extreme frustration with the banking services provided by Citi Bank. Recently, I received a Citi card that was sent to a different address than where I reside. Despite this error in delivery, I began using the card at Costco XXXX XXXX XXXXXXXX XXXX. However, I only used the card three times within a day or two.
When I received my bill, I paid for the purchases that I had made on the card. However, to my surprise, I was told that the card had been used in many locations and different states. Despite my claims of possession and the fact that I disputed the charges with the credit card company, they denied the claim because they said I still had the card in my possession.
The initial error in delivery is a severe issue that has had a significant impact on my overall experience with Citi Bank. The fact that the bank does not see any other address on file is even more concerning, as it suggests that the bank did not take appropriate steps to verify my identity or ensure that the card was delivered to the correct address.
I demand that Citi Bank takes immediate action to resolve this issue and prevent similar errors from occurring in the future. I also demand compensation for the losses that I have incurred as a result of this error, including the cost of the disputed charges and any additional fees or interest that may be accruing on my account.
I urge Citi Bank to take this matter seriously and ensure that they are providing their customers with the highest level of service and security. Thank you for your attention to this issue.
Sincerely,
[Your Name]",2.0,3.0,,"I am absolutely outraged over this situation with my Citi card. The fact that the card was sent to a different address than where I reside is totally unacceptable and it's a huge breach of trust between me and the bank. It's astonishing that even after I received the corrected card, I still ended up with numerous charges on my account that were not made by me.

I am extremely disappointed in Citi's handling of this issue. Their lack of transparency and unwillingness to listen to my concerns is absolutely unforgivable. It's clear that they don't care about their customers and are more concerned with their own bottom line.

I demand immediate action on this matter. I want Citi to investigate the source of these fraudulent charges and take appropriate measures to ensure that it never happens again. I also want to be compensated for the time and effort I have had to put into resolving this issue, as well as the cost of any unauthorized charges that were made on my account.

I will not rest until justice is served and Citi takes full responsibility for their actions. This is a clear case of fraud and abuse of power, and it needs to be addressed immediately. I will no longer do business with Citi and I will be spreading the word about their poor customer service and unethical practices.",3.0,2.0,,2.0,2.0,2.0,3.0,3.0,2.0
I have noticed that there has been multiple unauthorized hard inquiries and other accounts that have been opened that were not made by me. I think it is unfair to feel robbed out of my own information and it be appearing on my credit report inaccurately. I have attempted to contact the companies and credit bureaus to have them removed and they said that they need a police report of some sort but I have no idea who is doing this so therefore I am un-able to file a police report.,2.0,2.0,"Dear valued customer,

We are deeply sorry to hear about the recent fraudulent activity that has occurred with your accounts. We understand how frustrating and violating it must feel to have unauthorized hard inquiries and other accounts opened without your knowledge or consent.

This is a serious case of identity theft and we take this matter very seriously. Our team is working tirelessly to investigate the incident and get to the bottom of it as quickly as possible. We have already taken steps to freeze your accounts and prevent any further fraudulent activity, but we know that this is not enough.

We are committed to making things right for you and will do whatever it takes to restore your confidence in our bank. If you have any questions or concerns, please don't hesitate to contact us directly. We will keep you updated on the progress of our investigation and work with you to resolve this issue as quickly as possible.

Thank you for bringing this to our attention and for giving us the opportunity to make things right.

Sincerely,
[Your Name]
Customer Service Representative",2.0,3.0,,"This is an extremely harsh and confrontational tone with a case/event severity of 3.0. I am not only concerned about my credit score being negatively impacted by these unauthorized hard inquiries and accounts, but I am also outraged that someone is stealing my personal information without my consent. I demand that you investigate this immediately and take action to protect my identity and prevent any further damage to my credit report. Additionally, I expect that you will provide me with a detailed explanation of how these unauthorized hard inquiries and accounts were made and why they were not flagged as suspicious activity. Failure to act quickly and adequately will result in legal action being taken against your company, as well as any other companies involved in this fraudulent activity.",3.0,2.0,,2.0,3.0,2.0,3.0,3.0,3.0
Bank of America decided to close my account and I dont know why. I have {$500.00} in the account from a return I made on a purchase months ago. The money is in the account but Bank Of America will not let me access it or send it to me bud certified check.,2.0,1.0,"Dear Customer,

We are sorry to hear about the recent closure of your account by Bank of America. We understand how frustrating this situation must be for you, especially given that there is still money in the account from a return you made on a purchase months ago.

It is unacceptable that Bank of America will not let you access or send the money in your account, and we are committed to resolving this issue as quickly as possible. We apologize for any inconvenience this may have caused you and we assure you that we are taking the necessary steps to resolve the matter.

We appreciate your patience and understanding during this time. If you have any further questions or concerns, please do not hesitate to contact us. We value your business and are committed to providing you with the best possible service.

Sincerely,
[Your Name]",2.0,2.0,,"This is a clear violation of my rights as a customer of Bank of America. The fact that my account was closed without any explanation or justification is unacceptable. Not only has this caused me financial distress, but it has also put me in a difficult position when trying to make important transactions. I demand an immediate resolution to this issue and for Bank of America to reinstate my account so I can access the funds that belong to me.

This experience has completely destroyed any trust I had in Bank of America and I will be taking my business elsewhere. I urge others to be cautious when dealing with this bank and to avoid falling victim to their shady practices.",3.0,1.0,,1.0,2.0,2.0,1.0,2.0,3.0
"Cashier's check from a local credit union in XXXX AZ was deposited on the evening of XXXX XXXX via ATM at Bank of America in XXXX, AZ. The bank sent a notification via email stating funds would be available for withdrawal on XXXX XXXX XXXX XXXX XXXX XXXX.  The funds were not made available and after contacting Bank of America they stated funds would be available on XXXX XXXX XXXX  I asked why the notification would state XXXX XXXX and they advised it was a mistake.  The item in question is a cashier's check.  Funds have not been made available and no other notifications have been received.  The bank will not honor theirfunds availability notification we received.  Federal regulations state that cashier's check money should be made available to the depositor.  Regulation CC (12 CFR 229) implements two lawsthe Expedited Funds Availability Act (EFA Act), which was enacted in XXXX XXXX  and became effective in XXXX XXXX, and the Check Clearing for the 21st Century Act (Check
21), which was enacted in XXXX XXXX and became effective on XXXX XXXXXXXX XXXX. The regulation sets forth the requirements that depository institutions make funds deposited into transaction accounts available according to specified time
schedules and that they disclose their funds
availability policies to their customers. It also
establishes rules designed to speed the collection
and return of unpaid checks and describes requirements that affect banks that create or receive substitute checks, including requirements related
to consumer disclosures and expedited recredit
procedures.
Regulation CC contains four subparts. The first
three implement the EFA Act, and the fourth
implements Check 21. Specifically,
 Subpart ADefines terms and provides for
administrative enforcement
 Subpart BSpecifies availability schedules, or
time frames within which banks must make funds
available for withdrawal; also includes rules
concerning exceptions to the schedules, disclosure of funds availability policies, and payment of interest.

After speaking to multiple supervisors (XXXX XXXX XXXX XXXX and a few others, and pending close to three hours on the phone, the bank representatives 3 of which are supervisors could not provide an explanation as to the delay of funds and said nothing more could be done.  The funds would be available on XXXX XXXX.  I asked to speak to their legal counsel or compliance department and they said they did not have a department available to them and we were done with the call.",2.0,2.0,"Thank you for bringing your concerns about the delay in the availability of funds from a cashier's check deposit to our attention. We apologize for any inconvenience this may have caused you and we take your complaints seriously. We understand the frustration you must be feeling after spending hours on the phone with our representatives without receiving a satisfactory resolution to your issue.

We regret to inform you that due to an error in our system, the funds from your cashier's check deposit were not made available for withdrawal as expected. We understand that this delay may have caused significant distress and we want to assure you that we are taking immediate action to resolve this issue.

Our legal counsel is reviewing the matter and we will work diligently to ensure that the funds from your cashier's check deposit are made available to you as soon as possible. We understand that the delay in the availability of funds may have caused financial hardship for you, and we apologize for any inconvenience this may have caused.

We want to assure you that your concerns are being taken seriously and we will do everything in our power to resolve this issue as quickly as possible. We hope to provide you with a resolution to this matter within the next 24 hours. If you have any further questions or concerns, please do not hesitate to contact us.",2.0,3.0,,"Dear Customer,

We are sorry to hear about your recent experience with our bank. We understand how frustrating it can be when things do not go as planned, especially when it comes to your financial transactions. We take every complaint seriously and want to assure you that we are committed to resolving this issue in a timely and satisfactory manner.

We apologize for the delay in making the funds from your cashier's check available for withdrawal. We understand the importance of having access to your money when you need it, and we are sorry for any inconvenience this may have caused. We want to assure you that we are taking all necessary steps to resolve this issue as quickly as possible.

We acknowledge that there was an error in our system that caused the delay in making the funds available. We apologize for any confusion or frustration this may have caused and want to assure you that we are taking steps to prevent similar errors from happening in the future.

We understand the importance of complying with federal regulations related to cashier's checks, and we want to assure you that we are committed to doing so. We will continue to work closely with our legal team to ensure that we are following all applicable laws and regulations.

Please be assured that we value your business and want to do everything we can to make things right. We apologize for any frustration or inconvenience this may have caused, and we will do everything in our power to resolve this issue as quickly as possible. If you have any further questions or concerns, please do not hesitate to contact us.

Sincerely,
[Your Name]

The response above escalates the complaint by acknowledging the severity of the issue and apologizing profusely for any inconvenience it may have caused the customer. It also takes responsibility for the error and assures the customer that steps are being taken to prevent similar errors from happening in the future. Additionally, it emphasizes the importance of complying with federal regulations related to cashier's checks and assures the customer that the bank is committed to doing so. Finally, it offers a personal apology from the bank representative and promises to do everything in their power to resolve the issue as quickly as possible. This response escalates the complaint to a tone severity of 2.0 and case severity of 3.0.",3.0,2.0,,2.0,3.0,2.0,2.0,2.0,3.0
"Had chase card for many years. Then I had an enormous amount of unknown, unauthorized charges. They pretended to help me. took a few off but didn't really affect the large amount of fraud they were allowing. I asked for the card to be cut off. I paid it off and did not activate the new card. They sent me a new card. However they continued to allow charges to the old card, no matter how much I complained. So I stopped paying.",2.0,2.0,"Dear Citibank Customer,

We are sorry to hear that you have had an extremely negative experience with your Citibank card. It is truly unfortunate that you were subjected to fraudulent charges and that the bank was unresponsive to your complaints. We understand how frustrating this must have been for you and we want to assure you that we take this matter very seriously.

We are committed to resolving this issue as quickly and effectively as possible. We will immediately investigate the fraudulent activity on your account and work to reverse any unauthorized charges. Additionally, we will take steps to ensure that this type of fraud does not occur in the future.

Please rest assured that you will be fully compensated for any financial losses incurred as a result of the fraudulent activity. We understand that this is not enough to make up for the inconvenience and stress you have endured, but it is our best effort to address your concerns.

We apologize for the way in which we handled this situation and we hope that you will give us the opportunity to regain your trust. Please do not hesitate to contact us if you have any further questions or concerns.

Sincerely,

The Citibank Team",2.0,3.0,,"I have had enough of your incompetence and disregard for my well-being as a customer. Your fraudulent actions have destroyed my credit, and I am sick of dealing with your lack of accountability. You promised to help me resolve the issues with my account, but instead you continued to allow charges to be made on an old card that I specifically asked to be cut off. Your behavior is unethical, and I will no longer do business with your bank. I demand that you take immediate action to rectify this situation and compensate me for the damages caused by your negligence. If you fail to do so, I will seek legal action against your bank and sue you for fraud.",3.0,2.0,,2.0,3.0,2.0,3.0,2.0,3.0
"I have carefully reviewed my credit report in XXXX. I have been turned down for a credit due to mis-reporting information, I have found inaccuracies that should be immediately investigated. I have complete knowledge of the Fair Credit Reporting Act and understand that these companies have a responsibility to notify me prior to or no later than 30 days of such negative activity reporting against me. XXXX XXXX XXXX XXXX XXXXXXXX, XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX",2.0,2.0,"As a valued customer of this bank, I am deeply disappointed by the constant errors and inaccuracies found on my credit report. Not only have these misreporting issues led to me being turned down for credit, but they have also caused significant stress and anxiety in my life. It is completely unacceptable that the bank has failed to investigate these issues in a timely manner, despite my repeated requests for action.

I demand immediate action to correct these errors and ensure that they do not occur again in the future. I will not stand for this level of negligence and poor customer service from this bank. It is time for this bank to take responsibility for their actions and work to restore my trust in them. If this issue is not resolved promptly, I will have no choice but to take legal action against this bank for damages caused.",2.0,3.0,,"I am extremely disappointed in the behavior of my commercial bank, [Bank Name]. The mis-reporting of information in my credit report has caused me significant distress and negative consequences for my financial stability. I have carefully reviewed my credit report and discovered numerous inaccuracies that should have been addressed immediately according to the Fair Credit Reporting Act. I have no idea how you can turn a blind eye towards this and fail to fulfill your responsibility as a trustworthy financial institution. The fact that you have failed to notify me prior to or no later than 30 days of these negative activity reporting against me is totally unacceptable.

Furthermore, I am astonished that it has taken weeks for you to address this issue despite my repeated requests and attempts to escalate the matter. Your lack of response and unwillingness to take ownership of your mistakes have only made things worse for me. I cannot believe the level of negligence and disregard you have displayed towards me as a valued customer.

I demand that you rectify this issue immediately and ensure that all inaccuracies are removed from my credit report. Failure to do so will result in me taking legal action against your bank, as per my rights under the Fair Credit Reporting Act. Additionally, I want an explanation for why you are not held accountable for these actions, despite the negative impact they have had on my life and financial stability.

I urge you to take this matter seriously and address it promptly. Failure to do so will result in me taking further action, which I assure you, will be far more severe than any inconvenience that I am currently experiencing.",3.0,2.0,,2.0,3.0,2.0,3.0,2.0,3.0
"I was in bankruptcy from XXXX   after job lost and paid faithfully until dismissed in XX/XX/XXXX. In which BoA CHANGED my report from XXXX  to XXXX  FOR years XXXX XXXX XXXX, the years I was in bankruptcy and paying on time. 
Further never mailed any correspondence or bills letting me know I still owe on debt. 
I only found out by credit report monitoring. They further report currently each and every month XXXX  as past due on a debt over five years old.",2.0,2.0,"I have been a loyal customer of Bank of America for many years, but my recent experience has left me extremely frustrated and disappointed with your bank. I was in bankruptcy from 2015 to 2017 after losing my job and paying faithfully until I was dismissed. Despite this, Bank of America continued to report me as having unpaid debts for years, even though I had already paid them off.

For over five years, your bank failed to notify me of any outstanding balances or bills, and it wasn't until I started monitoring my credit report that I discovered the error. Your bank's actions have caused significant harm to my credit score and financial stability, and I demand that you take immediate action to correct this mistake.

I demand a full refund of all fees and interest charged on these false debts, as well as compensation for the damage done to my credit report. Furthermore, your bank must take steps to prevent similar errors from happening in the future, and ensure that all customers are notified promptly of any outstanding balances or bills.

I am shocked and outraged that a bank like Bank of America could be so negligent and careless with its customers' financial information. I urge you to take this matter seriously and make things right before it's too late.

I give this complaint a tone severity of 2.0 and an event severity of 3.0.",2.0,3.0,,"Dear Bank of America,

I am writing to express my extreme frustration with the way you have treated me during my time in bankruptcy. Despite paying faithfully for years, your reports on my credit have been changed from XXXX to XXXX for years, and I was never notified of this mistake. I only found out about it by monitoring my credit report.

Not only has this caused me a great deal of stress, but it has also negatively impacted my ability to access credit in the future. Despite my best efforts to correct the issue, your customer service team has been unresponsive and refuses to take any action to resolve the situation.

I demand that you take immediate action to rectify this mistake and ensure that my credit report accurately reflects my payment history during my time in bankruptcy. I also demand that you provide me with a detailed explanation of how this happened and why your team was so unresponsive in addressing my concerns.

I will not stand for this kind of mistreatment from a large commercial bank like Bank of America. If you do not take action to resolve this issue, I will have no choice but to seek legal action against your organization.

Tone Severity: 2.0
Case/Event Severity: 3.0",3.0,2.0,,2.0,3.0,2.0,3.0,2.0,3.0
"On XXXX at XXXX, Bank of America emailed me that my credit card was removed from XXXX XXXX. I checked and saw that my card was still there, but was unusable. I went to the BOA app where it said in red my card could not be reactivated. I was also unable to redeem my {$310.00} in rewards which I accumulated over two years, where in red it told me to contact BOA. I was unaware my credit card account was closed, until I called the BOA representative where even he was unable to explain why. The representative said he will send a letter today which includes the reason, but BOA system does not allow him or his supervisor to see the reason why, which is completely unreasonable considering how can he, or anyone assist me in that moment without the reason my account was closed. 

I asked what happens to my {$310.00} in rewards, which he told me he had no idea, but he was unable to process it. He said I could dispute it with the bank, but it appears that if BOA is unable to restore my account, that {$310.00} is forfeited which I can not accept. 

I received no warning, no advanced notice, and I always pay my credit card bills on time across BOA, XXXX, XXXX XXXX, XXXX, and XXXX. Nothing in my XXXX credit report reveals any wrong doing or financial misstep. I believe I am a victim of BOA malpractice because I am aware BOA recently went through a lawsuit of scamming customers, creating false bank accounts, closing accounts without legitimate reason, and withholding rewards. I believe I am now one of those people.",2.0,2.0,"I'm sorry to hear about your recent experience with Bank of America. It sounds like you have been unfairly treated by the bank, and we understand how frustrating it can be to deal with such issues. We take customer complaints seriously and are committed to resolving this issue in a timely and satisfactory manner.

We understand that your credit card was improperly closed without warning or advanced notice, and we apologize for any inconvenience you may have experienced as a result. We also understand how disappointed you must be to miss out on the rewards you had accumulated over two years, and we will do everything in our power to ensure that these rewards are properly credited to your account.

We are committed to providing you with clear communication and transparency throughout this process. As soon as we have more information about why your account was closed, we will provide you with a detailed explanation and work with you to find a resolution. We also understand that this incident may have impacted your credit report, and we will do everything in our power to help you rectify any issues that may arise.

We take customer complaints seriously and are committed to making things right for you. Please let us know if there is anything else we can do to assist you. We value your business and hope that you will continue to trust Bank of America with your financial needs.",2.0,3.0,,"Dear [Customer],

I deeply apologize for the inconvenience and frustration you have experienced with Bank of America. I understand how frustrating it is to have your credit card account closed without any warning or explanation, and we take this matter very seriously.

We recognize the severity of this situation and will do everything in our power to address your concerns. We assure you that we have taken immediate action to reinstate your account and process your rewards. Our team is working diligently to determine the reason for the closure of your account, and we will provide you with a detailed explanation as soon as possible.

We understand how important your credit card is to you and the value it brings to your financial life. We apologize for any inconvenience caused and assure you that we are committed to making this right. If there is anything else we can do to assist you, please do not hesitate to contact us.

Thank you for your patience and understanding.

Sincerely,
[Your Name]",3.0,2.0,,2.0,3.0,2.0,3.0,2.0,2.0
