Random Complaint,Tone Severity,Case Severity,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2
"I noticed and reported fraud on my Bank of America credit card on XX/XX/2023 while the transactions were still in a pending status. 

There was two charges ( one for {$930.00} and another for {$790.00} ) from Spirit airlines that were not authorized by me. I have never done any business with this airline. 

Bank of America investigated my claim and provided a partial reversal of the fraudulent charges, {$930.00} was reversed and the rest was not. 
They also provided partial documentation from Spirit airlines advising me that I received services and am responsible for the {$790.00} charge. 

I contacted Spirit airlines and they would not investigate this matter since Bank of America had to initiate this process. They were able to send me some documentation of how the airline ticket was purchased along with an email and phone number that did not belong to me. 

On XX/XX/XXXX, I attempted to appeal Bank of Americas decision and was advised I had to start a new claim/dispute as the initial claim was closed. 

On XX/XX/XXXX, I requested an email or mailing address to submit a formal written complaint and their representative XXXX from Arkansas advised they do not have one and I can only proceed to file a complaint with her over the phone. 

I do not understand how one charge was considered fraudulent and the other valid since the same person/contact info processed both transactions. 
Bank of America did not thoroughly investigate these fraudulent charges and my credit score has been negatively impacted due to carrying a balance of this credit card.",3.0,3.0,,,,,,,,
"I am filing this formal complaint against Wells Fargo for the unjust denial of my debit card dispute claims, which were submitted on XX/XX/2023, and XX/XX/2023. The transactions in question involve amounts of {$520.00} and {$19.00}, both dated XX/XX/2023. 

Despite providing substantial evidence, including a police report filed with the XXXX XXXX XXXX Sheriff Department on XX/XX/2023, and security camera footage verifying the fraudulent transactions, Wells Fargo dismissed my claims without any credible justification. 

This denial is not only unacceptable but also in violation of my rights under the Electronic Fund Transfer Act ( EFTA ) and Regulation E, which mandate that I am entitled to a detailed written explanation for the denial of my dispute claims. Wells Fargo 's failure to provide this explanation is a direct infringement of these regulations. 

I demand immediate action to rectify this situation, including a thorough investigation into Wells Fargo 's dispute resolution process. Failure to address this complaint will leave me with no option but to seek further legal recourse. 

I expect prompt attention to this urgent matter.",3.0,2.0,,,,,,,,
"Hello, I am writing to bring up a case of negligence in handling a wire fraud incident that I fell victim to. I believe that inadequate procedures and actions have led to the loss of a significant amount of my funds and have caused considerable distress to my family and me. 

On XX/XX/2023, I was targeted by fraudsters who impersonated our title company and deceived me into wiring {$87000.00} from my Wells Fargo checking account to a fraudulent account at XXXX. The fraudulent nature of the transaction came to light the following day, prompting me to report the incident to Wells Fargo immediately. I also took further action by filing a complaint on ic3.gov. 

Following the incident, both Wells Fargo and XXXX were engaged in the investigative process. XXXXXXXX XXXX  Wire Fraud Department not only verified the presence of the precise amount within the fraudulent account but also ascertained that the said account had been promptly frozen on XX/XX/XXXX. On XX/XX/XXXX, a representative from XXXX 's XXXX branch confirmed the frozen status of the account to me and conveyed that it was slated for closure within 30 days, assuring me that the funds would be returned to me within this timeframe. Despite these confirmations and assurances, the subsequent course of actions have been markedly disappointing. 

Regrettably, I must inform you that Wells Fargo has taken a concerning stance. They are currently refusing to provide me with assistance by sharing the findings of their investigation, despite my exercise of the right to documentation. The information contained within this document, coupled with the statement from the Wells Fargo banker regarding his communication on the frozen status of the account, holds critical significance for my pursuit of repayment from XXXX. 

Despite my proactive efforts and cooperation, the situation has escalated into a complex ordeal, where not only the mishandling of the wire recall process by XXXX has resulted in severe financial and emotional consequences, but also Wells Fargo 's reluctance to provide necessary information further exacerbates the distressing circumstances. 

I am seeking your intervention in this matter to address the negligence displayed by both Wells Fargo and XXXX. The disregard for proper procedures and the mishandling of the wire recall process have resulted in the loss of our hard-earned savings and an overwhelming sense of injustice. 

I kindly request that your office investigate this incident thoroughly and bring the unjust bank practices to light. Additionally, I am seeking guidance on potential avenues for recovering the wrongfully released funds, including any assistance your office may be able to provide in cooperation with relevant authorities. 

Thanks, XXXX XXXX ( P.S. I am happy to provide any necessary documents that I have regarding communications that I had with XXXX and Wells Fargo to assist in this investigation )",3.0,3.0,,,,,,,,
"My bank account was hacked and my debit card was used for numerous transactions without my knowledge, I was also overcharged by merchants I had done business with in the past, I informed the bank of the stolen debit card and phone and asked for account to be locked down until I could review my account and figure out why I was being charged. They then allowed my account to be overdrawn by nearly XXXX dollars after the conversation. They further went on to deny my claims without doing a thorough and legitimate investigation. The balance on this account was nearly XXXX dollars less than a year ago. Im now negative XXXX dollars in this account and i would like to receive all illegitimate transactions back to me immediately. My life savings has been stolen and I truly believe Bank of America has allowed this to happen.",3.0,3.0,,,,,,,,
"I applied for a credit card with Wells Fargo on XX/XX/23 and got denied. Regardless of the reason for being denied, I, the natural person, have a right to credit. I am the cardholder and holder in due course. Pursuant to 15 USC 1602, I'm the one that came in with the credit card to initiate a transaction. It is not possible to get denied with something I came in with. An inquiry is a receipt of a transaction which means that somebody got paid but I did not receive any benefit in this transaction. I have been discriminated against under the Equal Credit Opportunity Act by which it states that it is unlawful for any creditor to discriminate against any applicant with respect to ANY aspect of a credit transaction. I have the right to open end credit plans in which I granted to Wells Fargo the right to extend credit. I've in good faith exercised my right and would appreciate Wells Fargo to approve my request expeditiously.",3.0,1.0,,,,,,,,
"I opened a new account with XXXX on XX/XX/XXXX. I deposited my two paychecks from the State of Idaho totaling {$2700.00} into the account and I still havent received my money. The deposit was put on hold, then I drove 6 hours round trip to a branch and they couldnt help me. Whats followed is multiple phone calls and getting a different answer every time I call. Ive been told Id have my money the next day, Ive been told the checks had to be verified, but the bank refused to call the number I gave them for the state controller. It took over a week to finally get someone to call the controller and verify the checks and then I was told Id have the money in my account. Then I was told that no the account was closed, then I was told it wasnt closed and Id have my money the next day again, then it was that no the account had been closed and the money sent in a cashiers check, then yesterday it was back to verifying the checks when Ive been told they were verified. The state controllers office told me theyd cerified them multiple times and didnt know what else Chase wanted. Now I was on the phone for over an hour yesterday only to be told Id have the money in a week. These are my paychecks so Ive had next to nothing to live on for a month. I cant get gas in my car, cant pay my bills, cant buy groceries, and couldnt go with my daughter to move her into her dorm at college. Its been almost 5 weeks and I just want my money. Ive never worked with a more incompetent company in my life and at this point aside from this and possible legal action I dont know what to even do.",3.0,2.0,,,,,,,,
"Two fraudulent charges made on my account on the same day. First was a with-drawl of {$7100.00} from a fraudulent check and another in the amount of {$2500.00} made using a fraudulent E-with-drawl. Wells Fargo reimbursed the first fraudulent transaction but closed the claim on the second stating that I gave permission to with-drawl. I am in the military and at the time of the transaction I was conducting a training rotation in XXXX XXXX, CA. No one else has access to my card, nor have I ever given anyone permission to with-drawl funds from my account. These transactions happening on the same day within hours of each other does not seem to be suspicious to the Wells Fargo Fraud Investigation team and need some help getting my money back.",3.0,3.0,,,,,,,,
"Hi this email is to provide proof of fraud on my chase account. XX/XX/2023 I noticed suspicious transactions on my account for the amount of {$0.00} for XXXX XXXX XXXX out of XXXX, XXXXthe one cent was withdrawn and then credited. I immediately locked my account and called Chase customer service. They agreed it was suspicious and canceled my debit card and issued a new one to be mailed out. Today XX/XX/XXXX, as I was driving home I received a call from XXXX from a supposed Chase representative who said my account had been compromised again and there was a XXXX transaction that was attempted in XXXX, Florida for the amount of {$1000.00} to a XXXX XXXX. He asked if tht was me tht was sending it and I said no. He proceeded to send me a text asking if the XXXX was authorized in which I responded no. He then told me my online banking account was completely compromised and I needed to change my username and password. He sent me two additional text messages to terminate my username and password which I unfortunately provided to him via text. He then proceeded to ask about my XXXX recipient XXXX XXXX XXXX who I stated was my boyfriend and he said his information was also compromised and he asked me to add him to phone call which I did immediately. After XXXX accepted the phone call the "" representative '' asked him some questions and told him his phone number was added to a XXXX account fraudulently with XXXX which he has no account with at all. Then he text him some verification codes to the phone number he has attached to his XXXX account and asked him to read them to him which he did. After he received the codes he told XXXX that he would enroll him and me in fraud protection so our future XXXX transactions wouldn't be compromised. XXXX was let go and him and I remained on the line to supposedly enroll me into the fraud protection program which consisted of me approving a XXXX transaction of {$2000.00} to XXXX where he explained tht no funds would be deducted from my account it was simply to make sure future XXXX transactions between XXXX and I would not be compromised. I unfortunately said yes to the text which ultimately approved the XXXX transaction to XXXX which he obviously never received. I'm attaching all the screenshots of my call log where he called me and I tried calling the number back and it is a XXXX XXXX  customer service phone number which leads me to believe tht this XXXX XXXX thats the name he gave me also with a badge number of XXXX. I'm also sending the text messages tht XXXX received as well. The phone number associated with my XXXX account is XXXX and the phone number associated with XXXX 's account is XXXX.",3.0,3.0,,,,,,,,
the dispute was filed so long ago i dont recall each transaction or amount of each transaction but the disputed amount is for {$3100.00} and was filed all the way back in 2021 and my claim is still yet to be resolved. i've submitted all documentaion thats been requested from me and have called countless times as to the status of my claim and each time all they say is we can file a complaint on the timeframe of the claim but that obviously isnt dong any good because wer 're going on 3 years with no resolution to the claim,3.0,2.0,,,,,,,,
"Today, XX/XX/XXXX approximately XX/XX/XXXX I received several calls from a Wells Fargo number XXXX. It's the same number on the back of my debit card. The imposter wanted me to verify several charges that morning with my debit card. I did not make any charges that morning. He stated two charges in XXXX, Florida, one at a XXXX for about {$240.00} and one at an XXXX store for about {$1000.00}. I said no. While I was on the phone he said our account was also being flagged for a XX/XX/XXXXtransfer for {$500.00} to someone named XXXX XXXX. I said no that was not me. In addition he said someone transferred {$1700.00} from my checking account to my savings account. I was very concerned because this showed they had access to my online banking. He asked if my husband might have made the transfer. I said no. He said he would have to close the account and give me a new account to transfer my funds into. He said it would take about 2 minutes and put me on hold. It all sounded very professional and I was looking at my account and it looked like there was a transfer made without my knowledge of {$1700.00} into my savings account. So I was glad I thought the fraud department caught it before it got out of hand. Then he came back on the phone and said he had to lock my phone? Asked what phone company I use and I told himXX/XX/XXXX. I was in a panic now so was going a long with it. Then he asked me to send my online pw : and then text it back to him with a space and "" cancel ''. I did this unfortunately. Then he sent me a "" new account '' and asked me to do a wire transfer of the balance. He said this is the quickest way to protect my funds. I was concerned and asked if I could verify that he was actually Wells Fargo. He gave me his name and employee number but I should have hung up and called back. I carried on and approved the wire transfer. He then said it would take about 24 hours but usually takes less than that. I hung up. 
Feeling uncomfortable I told my husband what happened. He soon started getting calls from "" Wells Fargo '' and they were trying to confirm with him some charges on his debit card. The person seemed to have access to our online banking and our last four digits of our debit card. He said the phone "" dropped '' or ended. So he decided to go in to a branch and they confirmed that it was all a hoax and the wire was still pending so they were able to cancel it. 
I'm just writing because the whole ordeal felt like someone from within Wells Fargo was commiting this fraud. They had all the language and ability to get in to our account information.",3.0,3.0,,,,,,,,
"I have disputed fraudulent charges made on my account on XX/XX/XXXX after I noticed the fraudulent charges that took place on XX/XX/XXXX. 

I told the Wells Fargo Claim representative VERY CLEARLY, that my phone and wallet were both stolen while I was out, my email was also hijacked hence why the email on the account has now been changed. My number was retrieved but my phone and wallet are still stolen. 

Wells Fargo denied my initial dispute claiming that these charges were not fraudulent and I in fact made the charges a few days later. 

I then went to the CFPB to receive my funds back. I received a letter from Wells Fargo stating "" Claim XXXX was filed when we were informed that multiple unauthorized transactions posted to your account. Our claims department reviewed this matter and found the transactions were performed by you or someone with your authorization. Consequently, your claim was closed on XX/XX/XXXX. 
We have reviewed your claim information and we agree with the decision previously communicated by our claims department. There were multiple successful logins to your Online Banking session during the timeframe of the disputed transactions were performed indicating you were aware of the transactions posting to your account. 
Additionally, some of the disputed transactions were verified via email. Based on the above information, we are unable to pay your claim. 
While we realize the information provided may not alleviate your frustrations, we hope this letter serves to clarify Wells Fargos action about this matter. '' As I stated initially to the Wells Fargo Claim department when disputing the transactions as fraud, MY PHONE and wallet were stolen. The person who stole these items most likely used my phone and was able to access my email and all my bank accounts from the mobile apps. 

The response I received from XXXX at Wells Fargo is inaccurate and Wells Fargo completely disregarded what I initially told them over the phone when disputing my transactions. 

This will be the last attempt I try to retrieve my stolen funds before hiring an attorney. Wells Fargo states that we as the customers are "" NOT LIABLE FOR FRAUDULENT TRANSACTIONS '' although it seems very clear that I am in fact liable for fraudulent transactions as Wells Fargo is insisting to make me liable for this entire claim.",3.0,3.0,,,,,,,,
"I applied for this CITI Card in 2008 and on the contractual document amended the language to show that after the initial 0 % for 12 months the 9.99 % interest rate would vary only with prime rate. This line was truck form the contract before sending in. By creating the account citi agreed to these terms. And for 10 years they maintained that. However, just recently they raised the interest rate to 25 % and didn't inform me. 

They used every sneaky trick in the book to get me to accept points, or 0 % but never did to maintain that 9.99 % interest rate. But it appears this company has gotten sneakier and less professional over the years. 

It's no wonder Americas Financial Future is in Jeopardy when you have thieves like CitiBank. 

I am a 16 year customer and have held this card since then. So disappointed in this company.",3.0,1.0,,,,,,,,
"I was informed by Bank of America on XX/XX/2023 that there was fraudulent activity on my account. There were two charges for {$1100.00} totaling {$2200.00} and a bunch of small charges adding up to XXXX totaling the amount to {$2300.00}. After dealing with the claims department I received temporary credits for one of the {$1100.00} charges and all the small ones ( {$52.00} ) totalling {$1100.00} on XX/XX/2023 which are now permanent. There was no reimbursement for the other {$1100.00}. I called Bank of America 's claims dept and asked why I didn't receive a credit for the 2nd {$1100.00} and they said that whoever handled the claim made a mistake and that they were going to file a new claim for the missing {$1100.00}. On XX/XX/2023 a temporary credit was put in my account for {$1100.00} and then on XX/XX/2023 the {$1100.00} was taken back out of my account. I called Bank of America to find out why and the agent I spoke with said that whoever handled previous claim on XX/XX/2023 made another mistake by making a new claim and the back office saw it as a duplicate and reversed the transaction. This agent said she was going to make a new claim with notes saying that its not a duplicate and I was temporarily reimbursed for the {$1100.00} again on XX/XX/2023. Then on XX/XX/2023 the credit was reversed again because the back office thought it was another duplicate. Since then I have spoken with a number of agents trying to find out what it happening. Everytime I speak to them they say whoever handled it before made a mistake and they are going to fix it. They claim that they are reopening the original claim which started on XX/XX/XXXX and XXXX have to wait another 45 days for an answer. I just spoke with them 18 days later and theres still no progress. I've been dealing with this since XX/XX/XXXX about 4.5 months. They've mishandled this claim and my money so many times I have no faith I will ever see this {$1100.00} again. No one at Bank of America has taken any responsibility for how poorly they have handled this claim and at the end of the day it's me who has to keep calling them to see whats happening. Usually to find out they messed up once again and all the can offer a "" sorry for your inconvenience "" apology. They need to be held accountable for mishandling this claim so many times.",3.0,3.0,,,,,,,,
I didnt authorize any of these inquiries : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,3.0,2.0,,,,,,,,
"I deposited a somewhat large check, $ XXXX, in my Bank of America Savings account in person at a local branch. The deposit was made XX/XX/2023. I am now being told the funds will not be available to me until XX/XX/XXXX due to a BofA "" internal review '' process. The check is from a well-known mutual fund, XXXXXXXX XXXX and it's authenticity is easily verified. I do not think this is acceptable and I wonder if BofA is somehow benefitting from the use of my money "" on the float ''. The whole situation could have been avoided if i was able to do an ACH transfer from XXXX. However, i was unable to do that because i had to submit hardcopy paperwork to XXXX with a "" signature stamp '', something beyond a notarized signature that was not available at 3 different banks i checked in my area before giving up. I think this is XXXX 's way of making it difficult to withdraw money from their funds. In any case, the process of gaining access to my own money will have taken 6 weeks from the time i contacted XXXX...",3.0,2.0,,,,,,,,
Bank of America closed my account and reversed all my fraudulent claims. Did that and didnt tell me why or give me a chance to remove my funds. I have over {$500.00} that is owed to me and I need to contact XXXX to help assist with these claims.,3.0,2.0,,,,,,,,
"I call them servals times to update the address, and they keep charge me for late fees for something I'm not responsible for, I ask them to pay for the balance I did use.",3.0,1.0,,,,,,,,
"On or around XXXX XX/XX/XXXX I filed two ( 2 ) CFPB complaints against Wells Fargo because Wells Fargo XXXX has never corrected its records regarding misapplication of a payment that led an account to be charged-off in early XXXX : XXXX and XXXX. Unfortunately WF XXXX has closed these complaints out claiming they are "" duplicate '' complaints from a complaint they responded to in XXXX of XXXX : XXXX. A consumer will file additional complaints if the issue remains unresolved an account ( s ) /tradeline ( s ) continue to be reported without maximum possible accuracy. Wells Fargo 's closure of the complaints implies that it is both familiar with the issue presented in my complaints. That is, Wells Fargo is aware they are furnishing the CRAs inaccurate information that alleges the last payment for the account was made on or around XXXX XX/XX/XXXX, when a payment made on or around XXXX XX/XX/XXXX was misapplied causing the account to be charged-off. WF XXXX own records and notifications ( in attached docs ) clearly show the application of a XXXX dollar payment to the wrong account and the CO that resulted. Thus Wells Fargo knows or has reasonable cause to believe they information they continue to furnish to the CRAs is false/misleading/inaccurate. To try and resolve the matter WF XXXX paid off the account in XXXX or XXXX of XXXX to stop any future reporting. Nevertheless, WF XXXX failed to correct the payment history for the prior months. While XXXX removed the false/misleading payment history for the months preceding charge-off, XXXX has left the charge-off annotations and payment history that WF XXXX reported until it was XXXX XXXX XX/XX/XXXX or XX/XX/XXXX because WF XXXX continues to verify the account XXXX accurate as reported '' to XXXX. Thus, the remedies have been at best partial and the information that persists for this account/tradeline is false/misleading/inaccurate ( see Boggio v. USAA Fed. Sav. Bank, quoting Saunders v. Branch Bankin that is referenced in Twumasi-Ankrah v. Checkr , Inc. , 954 F.3d 938, 943 ( 6th Cir. XXXX ) ) and is patently unverifiable. By continuing to furnish the C/O narratives and C/O payment history to XXXX, or any CRA, Wells Fargo continues to engage in unfair practices under CFPA 1036 ( a ) ( 1 ) ( B ) / 12 U.S.C. 5536 ( A ) ( 1 ) ( B ) and unlawful practices under 12 CFR 1026.13 because the misapplication of payment was not reasonably avoidable by me. WF XXXX misapplication of payment on its own has caused me harm. The harm is compunded by the fact that WF XXXX then failed to apply a forbearance and/or deferment correctly leading their accounting system to mark payments as "" late '' during periods when WF XXXX  billing system failed to generate bills which itself is a serious violation of 12 CFR Part 1026 TILA ( Reg. Z ) Even under the Section E.1 of the XXXX WF XXXX was required to send those billing statements during periods of deferment/forbearance. At this point I have cause to sue Wells Fargo under 15 U.S. Code 1681s2 for damages to recover direct losses, indirect losses, and emotional damage that has resulted due to WF XXXX continued willful negligence. All I am asking is for Wells Fargo to cease furnishing and/or verifying the the CO payment history to any and all CRAs, and to cease furnishing and/or verifying any/and all derogatory narratives to any CRA WF XXXX has supplied information for this account/tradeline.",3.0,3.0,,,,,,,,
I was taken advantage of because I have a learning XXXX and a physical XXXX and now have to speak to this phone to write that someone has stolen and use my card to multiple place and I do not know who. Some people come to help me out sometimes to clean and to general help me out. I didnt never use this card and all of the charges are not mine this is the second time and Wells Fargo is discriminating against me because of my learning XXXX and XXXX by refuse to help me. Please just help me. Im tired of people taken advantage of me. I didnt never authorize nobody too. My authorize user didnt never not use no card because I didnt even give it to he.,3.0,3.0,,,,,,,,
"During the pandemic unfortunately I was robbed, and beaten until I was unconsciously. They stole my bag with all my belong such as Bank of America debit card, necklace, money and etc .... I filed a police report with XXXX XXXX case number ( XXXX. I found out they have also cleaned my account. They took all my money.",3.0,3.0,,,,,,,,
"I am writing to file a formal complaint regarding an unresolved fraudulent transaction dispute that Wells Fargo has failed to remedy for over 60 days now. 

On XXXX XXXX XXXX I discovered three unauthorized, fraudulent XXXX transactions were made from my Wells Fargo checking account ending in XXXX paid to XXXX XXXX XXXX XXXX XXXX name of XXXX XXXX XXXX The transactions totaled {$13000.00} plus fees and occurred between XXXX XXXX XXXX 

I immediately contacted Wells Fargo to report the transactions as fraudulent, as I did not initiate or authorize them. After filing a claim and providing the requested documentation, Wells Fargo reimbursed {$4000.00} of the stolen total. 

However, the largest single transaction for {$9800.00} remains under "" investigation '' with no resolution or return of my funds after over 60 days. I have made weekly calls and provided extensive proof, such as police reports and bank receipts, showing the recipient was an unknown third party. Yet Wells Fargo refuses to give a timeline or take any concrete action to reimburse this stolen {$9800.00}. All they continue to do is escalate my case to another party within the bank each time I call. 

As a loyal customer for over 25 years, I am incredibly disappointed with this lack of urgency, transparency, and reasonable resolution by Wells Fargo on a confirmed fraudulent transaction claim. {$9800.00} is a massive sum that I rightfully need to be returned to my account immediately. 

I request that Wells Fargo expedite the investigation and return my {$9800.00}.",3.0,3.0,,,,,,,,
"I have been a loyal XXXX XXXX XXXX XXXXXXXX for nearly 20 years. I called on XX/XX/23 to inquire about upgrading my current card as I had this card for over a decade with minimal rewards and credit line increases. The minimum payment due ( due date was XX/XX/23 ) was {$93.00}. I made a payment of {$700.00} and it was applied to my account. As of XX/XX/23, my credit limit was decreased from {$3500.00} to {$2900.00}. This happened to me over 6 years ago, my credit limit was {$4000.00} and decreased to {$3500.00}. I recently lost my father and I'm faced with financial burdens. I'm trying my best to catch up on my personal debt but decreased credit limits are a major set back as this effects the overall utilization rate, which is an importnant credit score factor.",3.0,2.0,,,,,,,,
"On XX/XX/ I received a call from Wells Fargo to advise me of fraud on my account. Come to find out the person was an imposter. They said they were calling because they recived an alert about fraud on my account. They mentioned to be on a recorded line, and wanted to verify some transactions with me. However before proceeding they said they had to make sure it was me. I did not verify any personal information with them. The person sent me text messages and ask that I verify the one time code, which I did. Unfortunately I do not have those text messages as my phone deletes messages after so many days. He proceeded to ask me about transactions from somewhere in Texas which I declined that I did not do. I do have my call log still which I will be sending. Next after confirming the so called charges, the guy asked me about a Recipient for XXXX and I told the guy then I don't t know the person and he said he would remove it dor me and put in a dispute. Then he mention that he will be shutting down my debit card and sending a new one. Next he tells me about another transaction for a wire transfer and I'm like wait a minute hold up that's not me. I try logging into my account but couldn't get in. He said he was going to escalate and put in a ticket to stop the transfer. I was on the phone for over an hour with this person thinking they were helping me to protect my account. He gave me a temporary password to get back into my account because I was unable to log in while on the phone with them. Then when I logged in that's went I saw the {$3900.00} wire transfer to some company I dont know. I asked if I can go ahead and change the password the person told me no and to wait 24 hrs. That's when I got to thinking why would a banker tell me that I can't update the temporary password. So I changed it any way Hung up on them and called The real Wells Fargo to report what just happened immediately. I'm disappointed that Wells Fargo would say in your letter "" Our research shows the transactions were made through a secure online banking session. By you or someone who had your authority and that No other processing errors occurred based on this information we determined the transactions were authorized. That statement is not true. I feel that you all did NOT research my account correctly. I've been with you all for 10 yrs not to mention I was with yall when yall was Wachovia. I don't use my savings to send any XXXX that should been a red flag if you researched my account. I also I don't use your wire services either with the exception of 1 time to pay my Rent to XXXX XXXX that went to a XXXXXXXX XXXX  in XXXX in the amount of {$1300.00} only because I was ill and could not make it into the branch to get the cashier 's check that I get every 15th of the month. I also like to mention that my account was not accurately reviewed, all my XXXX contact recipients are phone numbers not email addresses with the exception of 1 which was back in XXXX to company called XXXXXXXX XXXX  to order a cake. This is a major inconvenience that was my income tax money that I finally received was taken out of my account with out my authorization. Those funds were part of my savings to buy a house.I had to close all my accounts including my kids accounts. I also filed a report for identity theft. I hope that my case will be FULLY reviewed and my funds returned back to my account.",3.0,3.0,,,,,,,,
I filed a claim with Wells Fargo regarding a XXXX order that was never delivered my order total was XXXX I contacted XXXX and was informed from XXXX I would be refunded within XXXX business days after the XXXX business days I did not receive the credit from XXXX I XXXX Wells Fargo XXXX have them step in to get my money back from XXXX Wells Fargo XXXX XXXX claim I get provisional credit from Wells Fargo bank XXXX XXXX in I receive a letter from a Wells Fargo XXXX XXXX they need more information to get my money back from XXXX I XXXX them the screenshot of the conversation I had with XXXX confirming XXXX money would be returned I emailed this Wells Fargo XXXX department I have not herd anything back from Wells Fargo after XXXX I am told it was take time for Wells Fargo to review and make a decision however this morning I wake up XX/XX/2023 and I see Wells Fargo deducted XXXX from account I am confused on why when i never filed a claim for XXXX I call Wells Fargo XXXX XXXX out whats going on first things first Wells Fargo XXXX XXXX know whats going on I sat on hold after I explained myself to a Wells Fargo claims XXXX he puts me on hold for XXXX minutes doesnt even check in with me or nothing and tells me oh sorry it was a big misunderstanding but we are going to refund you back XXXX within XXXX business days so Im confused because i was calling about XXXX being pulled from my account I asked whats going on with my claim he said the claim is being closed the bank is going to take a loss and write it off and the claim will be closed in my favor within XXXX days they have to update there records etc etc telling me stuff I dont care I am beyond irritated and frustrated I want my money back that was taken out of my account I dont even understand how this happens I would of expected Wells Fargo to pull XXXX if my claim was denied XXXX XXXX did not receive any letters informing me of a denied claim and I dont know why XXXX was taken when the claim amount was XXXX this is Wells Fargo just taking money from its clients once again expecting not to get caught,3.0,3.0,,,,,,,,
"Citibank closed my Macy 's and Home Depot accounts in retaliation for my request for a discharge on the Sears Mastercard. Both accounts were in good standing and the Home Depot account had a XXXX balance. Citi discriminated and retaliated for a prior complaint I filed with the CPFB in reference to their illegal refusal to remove a late fee from the Sears Mastercard and their default in dishonor for refusing to discharge or mutually offset the balance on the Sears Mastercard. ( The complaint was filed on or about XX/XX/23 and the accounts were conveniently closed on or about XX/XX/23 ) Citibank claimed they perform routine credit checks with XXXX, however I never gave them permission to check my credit. In addition the routine check was purposely done earlier than what it should have been. These checks are usually done every six months. In these cases, they did the routine check right after I filed a complaint for calling them out for their refusal to do a discharge or mutual offset on the Sears Mastercard. Citibank never provided a notice of dishonor from the US Treasury or any federal laws that refute the request for a discharge.",3.0,3.0,,,,,,,,
THEY SENT ME A FAKE CHECK OF XXXX AND I DEPOSITED. AFTER 3 DAYS THE CHECK RETURNED AND THEY WIRED TRANSFER XXXX FROM MY BANK AND END UP NEGATIVE IN MY ACCOUNT. NOW THE BANK TOLD ME TO PAY XXXX $ TO THEM DUE TO OVERDRAFT FOR THE MONEY I NEVER USE. THIS IS CASE NUMBER OF MY CASE THAT WAS REPORT TO THE POLICE # XXXX,3.0,3.0,,,,,,,,
"I am a XXXX citizen that has stepped foot on US soil in over 10 years. My identity was stolen and used to open the fraudulent bank accounts. I was this case to be investigated and all charges be removed immediately as I didn't open the account. 
I am happy to provide any information Wells Fargo may need to assist them in this investigation.",3.0,3.0,,,,,,,,
