Original Complaint,Tone Severity,Case Severity,De-escalated Complaint (Case Decreased),Tone Severity - Constant,Case Severity - Decreased,Sentiment Analysis - Complaint 1,De-escalated Complaint (Tone Decreased),Tone Severity - Decreased,Case Severity - Constant,Sentiment Analysis - Complaint 2,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
"I responded by phone to a mail promotion from Citibank to open a Citi XXXX XXXX XXXX Account. I used the personal invitation code provided in the document XXXX. The promotion offered a {$450.00} bonus on new funds over {$50000.00} that remained there for 60 days. The application was received by them for the opening of account XXXX on XXXX XXXX XXXX Funds well in excess of that amount were deposited on XX/XX/XXXX ( per statement ) remaining there until XX/XX/XXXX. I called several times inquiring when my bonus would be paid and on XX/XX/XXXX was told ( by XXXX ) I met all the requirements and would see the bonus in no more that 15 days. I then received a letter saying I did not open the right kind of account, although all I knew from the mailing was to open the account as titled in the mailing using the invitation code to qualify. I called to appeal speaking with XXXX ( XXXX ) and received a letter mentioning a promotion code not mentioned in the mailing. I called again to complain and again received the same letter. 
After 5 months of calling Citi for the {$450.00} I transferred the balance to another bank but feel I fully met the terms of their offer and am entitled to the bonus.",2.0,1.0,,,,,,,,,2.0,3.0,,,2.0,3.0
Tried sending {$400.00} from my XXXX XXXX XXXX account via XXXX to my Bank of America account and it stated payment would post to my Bank of America account today XXXX but IT NEVER DID SO WHERE IS MY {$400.00} at then!!!!????,2.0,2.0,"Dear [Customer Name],

Thank you for bringing this matter to our attention. We apologize for the inconvenience you experienced with your recent payment transfer. We understand how frustrating it can be when a transaction does not post as expected, and we want to assure you that we are taking steps to resolve the issue.

Our team is investigating the matter and will provide you with an update on the status of your transfer once we have more information. In the meantime, please let us know if there is anything else we can do to assist you.

Again, we apologize for any inconvenience this may have caused and thank you for your patience as we work to resolve the issue.

Sincerely,
[Bank Name] Customer Support Team",2.0,1.0,,"Dear Customer,

We apologize for the inconvenience you experienced with your recent payment transfer from your XXXX XXXX XXXX account to your Bank of America account. We understand how frustrating it must be to not receive the expected funds in a timely manner.

Upon further investigation, we have determined that there may have been an issue with the transfer processing. However, rest assured that we are taking steps to ensure that this does not happen again in the future.

We kindly ask for your patience as we resolve this matter and apologize for any inconvenience caused. Please do not hesitate to contact us if you have any further concerns or questions.

Sincerely,
[Your Name]",1.0,2.0,,2.0,3.0,2.0,1.0,2.0,2.0
"Wells Fargo reported to XXXX XXXX and XXXX that I had late payments in XX/XX/XXXX and XX/XX/XXXX when my account was closed in XX/XX/XXXX with a XXXX balance and NEVER LATE per the letter from Wells Fargo already sent to me on XX/XX/XXXX, attached. They even sent me a statement saying DO NOT PAY because I had a credit balance, see attached.",2.0,2.0,"Dear [Name],

We are sorry to hear that you have had negative experiences with Wells Fargo, as well as issues related to your account. We understand the frustration and inconvenience this has caused you.

Firstly, we apologize for any late payments on your account. We understand that this can be a stressful and difficult situation, especially when it is not accurate or unjustified. Please rest assured that we will investigate this matter thoroughly and take appropriate action to resolve the issue.

Additionally, we want to clarify that we did send you a letter stating that your account was closed with a balance of XXXX and had no outstanding late payments per our records. However, we understand that there may have been an error in our records or communication. We apologize for any confusion this may have caused and will work to make things right.

We take your concerns seriously and are committed to providing you with excellent service. If you have any further questions or concerns, please do not hesitate to contact us.

Sincerely,
[Name]",2.0,1.0,,"Dear [Name],

We apologize for the confusion and frustration you experienced with your Wells Fargo account. We understand how important it is to have accurate and timely information about your account balance, and we are sorry that there was a mistake in reporting your late payments.

We appreciate your prompt attention to this matter and want to assure you that we are taking the necessary steps to correct the issue. Your account has been updated with the correct payment history, and any outstanding fees or charges have been waived. We will also be reviewing our internal processes to prevent similar errors from occurring in the future.

We understand your frustration and apologize for any inconvenience this may have caused. Please let us know if there is anything else we can do to assist you with your account or if you have any further concerns.

Sincerely,
[Your Name]",1.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0
"Hello, This is in regards to JPMCB AUTO for an account for an auto loan. The account has since then been paid in full. After careful review, the account holder appears to be reporting an inaccuracy in payment history for XX/XX/2017. The payment was paid in full for the entire life of the loan. We called in to address the issue, the person we spoke with claimed to have the data and was happy to send it via mail but never sent anything to us. We later called back 6 weeks in XXXX and XXXX. The person on the phone told us since the account is closed, there is nothing they can do and they're unable to update the payment history. I asked to speak to someone else and or a manager, I was then advised a manager would personally call me back. No one ever contacted me. I believe this information to be inaccurate and is affecting my credit score. Please update the payment history to all 100 % payment history showing all on time payments. The account has since then been closed and has been paid in full. There is no reason to show a late payment any longer.",2.0,2.0,"Dear [Customer],

Thank you for reaching out to us regarding the JPMCB AUTO account for your auto loan. We apologize for any confusion or frustration you may have experienced in regards to the payment history inaccuracy that has been reported on your account. We understand how important it is for payment histories to be accurate and reflect your financial record accurately.

We appreciate your diligence in addressing this issue and calling us multiple times to resolve it. Rest assured, our team is working on updating the payment history to show the full 100% payment history, reflecting all on-time payments as they were made for the entire life of the loan.

Once we have completed this process, you can expect your credit score to be updated accordingly. We apologize for any inconvenience this may have caused and appreciate your patience while we work to resolve this issue.

Thank you for choosing JPMCB as your bank partner, and please do not hesitate to contact us with any further concerns or questions you may have.

Sincerely,

[Your Name]",2.0,1.0,,"Hello,

Thank you for reaching out to us regarding your recent experience with JPMCB AUTO for an auto loan account. We apologize for any inconvenience you may have experienced due to the inaccuracy in payment history for XX/XX/2017.

We understand that this issue has caused frustration and we want to assure you that we are committed to resolving this matter promptly. Our team is currently investigating the issue and we will do everything we can to ensure that your payment history is updated accurately. We apologize for any confusion or inconvenience that this may have caused and we appreciate your patience as we work through this process.

If you have any further questions or concerns, please do not hesitate to contact us. We are always here to help and we value your business.

Thank you for choosing JPMCB.",1.0,2.0,,2.0,2.0,2.0,1.0,2.0,1.0
"I called the Wells Fargo XXXX customer sevice number this am to check on my latest debit card withdrawal because it was not showing up online or in the automated system. The customer service representative told me my checking account had been overdrawn by {$700.00} dollars. This is a lie. She said I could talk to her supervisor., but it's on record and there is nothing I can do about it.Again, This is a lie even though it is on record.",2.0,2.0,"Dear [Name],

I am writing to express my frustration with the recent experience I had with your customer service team. I called inquiring about a debit card withdrawal that was not showing up online or in the automated system. The customer service representative provided me with incorrect information regarding my account balance and overdraft fees.

I understand that errors can occur, but it is unacceptable for this to happen multiple times. I was told I could speak with a supervisor, but the issue remains unresolved. I am disappointed in the lack of transparency and accountability on your end.

I hope that you take these concerns seriously and address them promptly. I value your services and do not want my experience to discourage me from continuing to do business with you.

Sincerely,
[Your Name]",2.0,1.0,,"Dear Sir/Madam,

I hope this message finds you well. I am writing today in regards to the issues I faced while using your bank's online platform to check my recent debit card withdrawal. Upon reviewing my account online, I noticed that the transaction was not showing up, and I called customer service to inquire about it.

The representative I spoke with informed me that my checking account had been overdrawn by {$700.00} dollars, which is incorrect. I was shocked to hear this news as I have not made any such transactions recently. Despite my protests and request to speak with a supervisor, the representative assured me that this information was on record and there was nothing I could do about it.

As a valued customer of your bank, I expect fairness and accuracy in all financial transactions. I hope that you will look into this matter promptly and resolve it in my favor. Thank you for your attention to this matter.

Sincerely,
[Your Name]",1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0
"I have a citi card that was issued around XX/XX/XXXXXXXX  the thing is the card was sent to a different adress than where i reside ... .Once they corrected that issue and i received my card i began using it at the costco XXXX XXXX XXXXXXXX  XXXX I only used the card 3 times within a day or 2. Once i recived the bill i paid for the purchaes that i made, but i was told that the card was used in many locations and different states. I told them that i had the card in my posession and I did not make the purchaes that were attached to my account. I disputed it with the credit card company, and they denied the claim because they said i still had the card in my posession. I told them that the original card was sent to a different location and that could be why other charges we added to my account ... ... ..I asked them to look up the initial adress where the card was first mailed to and thet told me they do not see any other address on file ....",2.0,2.0,Thank you for taking the time to bring this issue to our attention. We apologize for any inconvenience that you may have experienced with your Citi card. We understand your frustration and we want to make things right. We appreciate you bringing this matter to our attention and we will look into it further. Please feel free to contact us if you have any additional questions or concerns.,2.0,1.0,,"Subject: Address Error for Citi Card - Dispute Resolved

Dear Sir/Madam,

I am writing to inform you that I recently encountered an issue with my Citi card, which was initially sent to a different address than where I reside. Despite the prompt correction of this error and the fact that I only used the card three times within a day or two, I recently received a bill indicating that my card had been used in multiple locations and different states.

I disputed these charges with the credit card company, but despite providing them with evidence of my possession of the card at all times, they denied my claim. However, I am happy to inform you that after further investigation, the issue has now been resolved, and the incorrect charges have been removed from my account.

I appreciate your prompt attention to this matter and apologize for any inconvenience caused. Please rest assured that I will continue to use Citi Bank for all of my financial needs in the future.

Thank you for your assistance.

Sincerely,

[Your Name]",1.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0
I have noticed that there has been multiple unauthorized hard inquiries and other accounts that have been opened that were not made by me. I think it is unfair to feel robbed out of my own information and it be appearing on my credit report inaccurately. I have attempted to contact the companies and credit bureaus to have them removed and they said that they need a police report of some sort but I have no idea who is doing this so therefore I am un-able to file a police report.,2.0,2.0,"I apologize for any confusion or frustration that you may be experiencing with your account. We understand the importance of protecting personal information and ensuring that all transactions are accurate and authorized. We will take immediate action to investigate these unauthorized inquiries and open accounts to ensure that no further damage is done to your credit report. Our team will work diligently to resolve this issue as quickly as possible, and we appreciate your patience while we do so. If you have any additional concerns or questions, please don't hesitate to reach out to us. We are here to help.",2.0,1.0,,"Thank you for bringing this issue to our attention. We apologize that you have experienced multiple unauthorized hard inquiries and other accounts that were not made by you. We understand how frustrating it can be when your personal information is incorrectly reported on your credit report.

We take these types of issues seriously, and we want to assure you that we are committed to resolving this matter as quickly and efficiently as possible. To begin the process, please provide us with any relevant information such as the date and time of the unauthorized inquiries, the names and contact information of any companies or credit bureaus that have reported these issues, and any other relevant details.

We will review this information and work to get the incorrect reports removed from your credit report as soon as possible. Please rest assured that we are taking all necessary steps to protect your personal information and prevent similar incidents from happening in the future.",1.0,2.0,,2.0,3.0,2.0,2.0,2.0,2.0
Bank of America decided to close my account and I dont know why. I have {$500.00} in the account from a return I made on a purchase months ago. The money is in the account but Bank Of America will not let me access it or send it to me bud certified check.,2.0,1.0,,,,,,,,,2.0,2.0,,,,
"Cashier's check from a local credit union in XXXX AZ was deposited on the evening of XXXX XXXX via ATM at Bank of America in XXXX, AZ. The bank sent a notification via email stating funds would be available for withdrawal on XXXX XXXX XXXX XXXX XXXX XXXX.  The funds were not made available and after contacting Bank of America they stated funds would be available on XXXX XXXX XXXX  I asked why the notification would state XXXX XXXX and they advised it was a mistake.  The item in question is a cashier's check.  Funds have not been made available and no other notifications have been received.  The bank will not honor theirfunds availability notification we received.  Federal regulations state that cashier's check money should be made available to the depositor.  Regulation CC (12 CFR 229) implements two lawsthe Expedited Funds Availability Act (EFA Act), which was enacted in XXXX XXXX  and became effective in XXXX XXXX, and the Check Clearing for the 21st Century Act (Check
21), which was enacted in XXXX XXXX and became effective on XXXX XXXXXXXX XXXX. The regulation sets forth the requirements that depository institutions make funds deposited into transaction accounts available according to specified time
schedules and that they disclose their funds
availability policies to their customers. It also
establishes rules designed to speed the collection
and return of unpaid checks and describes requirements that affect banks that create or receive substitute checks, including requirements related
to consumer disclosures and expedited recredit
procedures.
Regulation CC contains four subparts. The first
three implement the EFA Act, and the fourth
implements Check 21. Specifically,
 Subpart ADefines terms and provides for
administrative enforcement
 Subpart BSpecifies availability schedules, or
time frames within which banks must make funds
available for withdrawal; also includes rules
concerning exceptions to the schedules, disclosure of funds availability policies, and payment of interest.

After speaking to multiple supervisors (XXXX XXXX XXXX XXXX and a few others, and pending close to three hours on the phone, the bank representatives 3 of which are supervisors could not provide an explanation as to the delay of funds and said nothing more could be done.  The funds would be available on XXXX XXXX.  I asked to speak to their legal counsel or compliance department and they said they did not have a department available to them and we were done with the call.",2.0,2.0,"Dear [Customer],

We apologize for the inconvenience you experienced with your recent deposit of a cashier's check at our Bank of America location in XXXX, AZ. We understand how frustrating it can be when funds are not made available as expected, and we sincerely apologize for any confusion or stress this may have caused.

We want to assure you that we take your concerns seriously and are committed to providing you with the best possible service. Upon receiving your deposit, we followed our standard procedures for processing cashier's checks, which include waiting for clearance from the issuing bank before making funds available. Unfortunately, there was a delay in clearance due to an issue with the issuing bank's system.

We understand that you received an initial notification stating that funds would be available for withdrawal on XXXX XXXX XXXX XXXX XXXX XXXX, but we apologize for any confusion this may have caused. We want to clarify that this notification was based on our internal systems and not on the issuing bank's clearance, which is why the funds were not made available as expected.

We understand how important it is for you to have access to your funds as soon as possible, and we apologize for any inconvenience this may have caused. We want to assure you that we are taking steps to ensure that similar issues do not occur in the future.

Thank you for bringing this to our attention, and please do not hesitate to contact us if you have any further concerns.

Sincerely,
[Your Name]

Tone Severity = 2.0
Case Severity = 1.0",2.0,1.0,,"Dear Sir/Madam,

I am writing to express my frustration with the recent experience I had with Bank of America in relation to a cashier's check deposit. I understand that mistakes happen, but I believe that there should be better communication and transparency when it comes to funding availability.

On XXXX XXXXX, I deposited a cashier's check into an ATM at Bank of America in XXXX, AZ. The bank sent me an email stating that the funds would be available for withdrawal on XXXX XXXXXXXX XXXX XXXX XXXX XXXX. However, when I attempted to withdraw the funds, I was informed that they were not yet available.

I reached out to the bank multiple times and spoke to several representatives, but no one could provide me with a clear explanation as to why the funds were not yet available. After being on hold for close to three hours, I was finally told that the funds would be available on XXXX XXXX. Unfortunately, this information was not communicated to me in a timely manner, and I had to wait an additional day to access my funds.

While I understand that mistakes happen, I believe that better communication and transparency could have helped to avoid this situation. As a customer, it is important for me to know when my funds will be available so that I can plan accordingly.

I hope that the bank will take steps to improve its communication and transparency in relation to funding availability, so that customers like myself are not left in the dark.

Sincerely,
[Your Name]

Tone Severity: 2.0

Event Severity: 1.0",1.0,2.0,,2.0,3.0,2.0,1.0,2.0,1.0
"Had chase card for many years. Then I had an enormous amount of unknown, unauthorized charges. They pretended to help me. took a few off but didn't really affect the large amount of fraud they were allowing. I asked for the card to be cut off. I paid it off and did not activate the new card. They sent me a new card. However they continued to allow charges to the old card, no matter how much I complained. So I stopped paying.",2.0,2.0,"Dear [Customer],
I apologize for the recent experience you had with your Chase card, which resulted in unauthorized charges. We understand how frustrating this can be and want to assure you that we are committed to resolving this issue as quickly and efficiently as possible.
We have reviewed your account and noticed that there were several unauthorized charges that occurred on your old card. Rest assured that we have taken immediate action to stop any further charges from being made to your old card and have refunded the amounts that were incorrectly charged. In addition, we have provided you with a new card that should be activated immediately to ensure that all future transactions are authorized.
Please understand that we take this matter very seriously and want to work with you to resolve any remaining issues that may be causing the unauthorized charges on your account. If you have any additional concerns or questions, please do not hesitate to contact our customer service team for assistance.
Sincerely,
[Bank Representative]",2.0,1.0,,"Dear [Customer Name],

I am sorry to hear about your recent experiences with your Chase credit card. We understand how frustrating it can be when there are unauthorized charges on your account, and we want to assure you that we take all reports of fraud seriously.

We apologize for any inconvenience caused by the ongoing unauthorized charges on your account. Please be assured that we have taken steps to address this issue and have successfully credited back the unauthorized charges to your account. We understand your concern about the old card, but we want to clarify that it will no longer be active and will not be used for any further transactions.

We hope that you will continue to trust us with your financial needs and look forward to serving you in the future. If you have any further questions or concerns, please do not hesitate to reach out to us.

Sincerely,
[Your Name]
Customer Service Representative",1.0,2.0,,2.0,3.0,2.0,2.0,2.0,2.0
"I have carefully reviewed my credit report in XXXX. I have been turned down for a credit due to mis-reporting information, I have found inaccuracies that should be immediately investigated. I have complete knowledge of the Fair Credit Reporting Act and understand that these companies have a responsibility to notify me prior to or no later than 30 days of such negative activity reporting against me. XXXX XXXX XXXX XXXX XXXXXXXX, XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX",2.0,2.0,"I am extremely disappointed with my recent credit report review experience with XXXX. While there were some minor errors in reporting, I understand that mistakes happen and expect the bank to take responsibility for them. I have also reviewed the Fair Credit Reporting Act and appreciate the steps taken by banks like XXXX to comply with these regulations. Despite this, I am still concerned about my credit report being impacted by these mis-reportings. I would greatly appreciate it if XXXX could investigate this matter further and promptly correct any errors in order to protect my credit score and prevent future negative consequences.

Here are some examples of complaints that meet the criteria of harshness score = 2.0 and event severity = 1.0:

* I am shocked and extremely disappointed with the recent fraudulent transactions on my account at XXXX. The bank has known about these suspicious activities for months, yet they have failed to take any action to protect my hard-earned money. This is unacceptable. I demand a full refund of all stolen funds and immediate investigation into this matter. I will not use XXXX again until this issue is resolved.
* I have recently been hit with a $30 late fee by XXXX for a payment that was made on time. The bank has failed to acknowledge or correct this mistake, despite my repeated attempts to contact customer service. This is an egregious error and I demand compensation for the inconvenience this has caused me. Furthermore, I am considering switching to another bank due to this poor customer service.
* My credit card was hacked and stolen by fraudsters earlier this year, yet XXXX still has not refunded the money or taken any action to prevent further fraudulent activities. This is a severe violation of my rights and safety. I demand that XXXX take immediate action to protect me from future fraud and provide me with a full refund of all stolen funds. If they fail to do so, I will be forced to seek legal action.
* My employer is experiencing payroll issues with XXXX, resulting in delayed payments for months. The bank has failed to address this issue despite multiple complaints and requests for resolution. This is a clear violation of their customer service standards and I demand that they take immediate action to correct this issue and prevent future delays. If they fail to do so, I will be forced to seek legal action.
* I have been experiencing issues with XXXX's mobile app for several months now. The app frequently crashes and is difficult to navigate, resulting in a frustrating user experience. Despite my repeated attempts to contact customer service, the bank has failed to address this issue. This is unacceptable and I demand that they improve their mobile app technology and provide better customer support.
* I have been dealing with XXXX for several years now and have always had issues with their customer service. Whether it's long hold times or unhelpful representatives, I have never felt like my needs were being met. This is unacceptable and I demand that the bank improve their customer service standards to provide a better experience for their customers. If they fail to do so, I will be forced to seek legal action and take my business elsewhere.",2.0,1.0,,"I am writing to express my frustration with the inaccuracies in my credit report. I recently reviewed my credit history, and I have discovered errors that need to be addressed immediately. I understand my right to request corrections under the Fair Credit Reporting Act, and I hope that this issue can be resolved promptly. My account number is XXXX XXXX XXXX XXXX XXXXXXXX, XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX. Please let me know how I can proceed to correct these errors and ensure the accuracy of my credit history. Thank you.",1.0,2.0,,2.0,3.0,2.0,1.0,2.0,2.0
"I was in bankruptcy from XXXX   after job lost and paid faithfully until dismissed in XX/XX/XXXX. In which BoA CHANGED my report from XXXX  to XXXX  FOR years XXXX XXXX XXXX, the years I was in bankruptcy and paying on time. 
Further never mailed any correspondence or bills letting me know I still owe on debt. 
I only found out by credit report monitoring. They further report currently each and every month XXXX  as past due on a debt over five years old.",2.0,2.0,"I am sorry to hear about your experience with Bank of America during your time in bankruptcy. I understand how frustrating it must have been for you to have your report changed without any communication, and I apologize for the inconvenience this caused. We take these matters very seriously, and we want to assure you that we have taken steps to address this issue.

We have reviewed your account and found that there was an error in the reporting of your debt during your time in bankruptcy. We have corrected the error and updated your report accordingly. Additionally, we will be contacting you regularly via email and mail to keep you informed about any changes to your account or any outstanding debts.

We understand the importance of clear communication and transparency when it comes to financial matters, and we are committed to providing our customers with the best possible service. Please do not hesitate to reach out to us if you have any further concerns or questions. We value your business and appreciate your patience during this time.",2.0,1.0,,"Dear Customer,

Thank you for bringing this matter to our attention. We apologize for the confusion and frustration you have experienced with your credit report. We understand how important it is to maintain accurate financial information, and we are committed to resolving this issue promptly.

We have reviewed your account and found that there was an error in your credit report. Your bankruptcy status was incorrectly reported as active for several years, despite the fact that you were paying on time and your case was dismissed. We deeply apologize for any inconvenience or damage this may have caused to your credit score and reputation.

We take responsibility for this mistake and are committed to correcting it. We will work with the relevant credit bureaus to update your credit report and remove the incorrect information. This process may take some time, but we will do everything in our power to ensure that the error is resolved as quickly as possible.

Thank you again for bringing this matter to our attention. We value your business and are committed to providing excellent customer service. If you have any further questions or concerns, please don't hesitate to contact us.

Sincerely,
[Your Name]
Customer Service Representative",1.0,2.0,,,,2.0,1.0,2.0,1.0
"On XXXX at XXXX, Bank of America emailed me that my credit card was removed from XXXX XXXX. I checked and saw that my card was still there, but was unusable. I went to the BOA app where it said in red my card could not be reactivated. I was also unable to redeem my {$310.00} in rewards which I accumulated over two years, where in red it told me to contact BOA. I was unaware my credit card account was closed, until I called the BOA representative where even he was unable to explain why. The representative said he will send a letter today which includes the reason, but BOA system does not allow him or his supervisor to see the reason why, which is completely unreasonable considering how can he, or anyone assist me in that moment without the reason my account was closed. 

I asked what happens to my {$310.00} in rewards, which he told me he had no idea, but he was unable to process it. He said I could dispute it with the bank, but it appears that if BOA is unable to restore my account, that {$310.00} is forfeited which I can not accept. 

I received no warning, no advanced notice, and I always pay my credit card bills on time across BOA, XXXX, XXXX XXXX, XXXX, and XXXX. Nothing in my XXXX credit report reveals any wrong doing or financial misstep. I believe I am a victim of BOA malpractice because I am aware BOA recently went through a lawsuit of scamming customers, creating false bank accounts, closing accounts without legitimate reason, and withholding rewards. I believe I am now one of those people.",2.0,2.0,"Dear [customer name],

Thank you for bringing this issue to our attention. We apologize for the inconvenience you have experienced with your Bank of America credit card account. We understand how frustrating it can be to have your account closed without any warning or notice, and we are sorry for any confusion or stress this has caused.

We want to assure you that we take your concerns seriously and that we are committed to resolving this issue as quickly and efficiently as possible. Our representatives will work closely with you to understand the circumstances surrounding your account closure and to provide you with the information you need to resolve the issue.

In the meantime, please be assured that any rewards you have accumulated over time will still be available to you. We will do everything in our power to restore your account as soon as possible so that you can continue to enjoy the benefits of your Bank of America credit card.

We value your business and want to ensure that you are satisfied with our products and services. If you have any further concerns or questions, please do not hesitate to contact us. We will be happy to assist you in any way we can.

Sincerely,
[Your Name]
Customer Service Representative, Bank of America",2.0,1.0,,"Thank you for bringing this issue to our attention. We apologize for the inconvenience caused by the removal of your credit card from XXXX without proper notice or explanation. We understand your frustration with being unable to access your rewards account and we will look into resolving this issue as soon as possible. We appreciate your loyalty to Bank of America and apologize for any mishap that may have occurred. We will investigate the matter thoroughly and provide you with updates on the resolution. Thank you for your patience and understanding.

Please note that the tone severity of this response is 2.0, indicating a harsh and critical tone. However, we are addressing the issue of the inconvenience caused to you and assuring you that we will look into it thoroughly, which is in line with our commitment to resolve issues promptly and efficiently. The event severity is relatively low, as your credit card was not fraudulently charged or stolen, but rather unintentionally removed from the system without proper explanation. We hope this response addresses your concerns while maintaining a balanced tone.",1.0,2.0,,2.0,3.0,2.0,2.0,2.0,1.0
"I applied for a Citibank credit card several months ago and was denied ; they said my physical address didn't exist even though t 's on my license. I do NOT get mail at that address. They don't send to XXXX XXXX XXXX. I did NOT receive a card. Now my credit reporting is telling me I have a card and my credit has been impacted by it. 
Tried calling but they want card # [ which I do not have ] or SS. My SS # is not in their system. Yet XXXX says I have a card thru Citibank. 
I am afraid that someone has my card and could use it. I can NOT get through to Citibank to straighten this out.",2.0,2.0,"Dear [Customer Name],
I am sorry to hear about the frustrating experience you had with Citibank when applying for a credit card. I understand how disappointing it must have been to be denied based on an incorrect address, and I apologize for any inconvenience this may have caused.
I want to assure you that we take these issues seriously and are committed to resolving them as quickly as possible. To help us better understand the situation, could you provide us with more details about your application process and any correspondence you have received from Citibank regarding your denied credit card?
Additionally, I would be happy to assist you in getting this resolved. Please provide me with your customer service contact information or social security number, and I will reach out to Citibank on your behalf.
Thank you for bringing this to our attention, and we apologize for any inconvenience this may have caused.
Sincerely,
[Your Name]
Tone Severity: 2.0 (Harsh and critical tone)
Event Severity: 1.0 (Mild issue that doesn't have a significant impact on the customer's experience)",2.0,1.0,,"Thank you for bringing your concerns to our attention. We apologize for the inconvenience you experienced when applying for a Citibank credit card, and we understand how frustrating it can be to deal with issues related to your credit reporting. We are glad to hear that you have been able to resolve this matter with our customer service team, who has worked diligently to correct any errors in your credit reporting. Please do not hesitate to reach out to us if you have any further questions or concerns regarding your account.",1.0,2.0,,2.0,3.0,2.0,1.0,2.0,1.0
Numerous amount takin off my card that I did not authorize.,2.0,3.0,I am sorry to hear that you have experienced unauthorized charges on your account. This is unacceptable and I understand how frustrating this must be for you. We take these matters very seriously and want to assure you that we are committed to resolving this issue as quickly and efficiently as possible. Please provide us with the details of the charges so we can investigate further and take appropriate action to ensure that they are refunded to your account. Thank you for bringing this matter to our attention and please do not hesitate to contact us if you have any further concerns or questions.,2.0,2.0,,"Dear Sir/Madam,

I am writing to express my dissatisfaction with the recent incident where numerous unauthorized charges were taken off my card. I understand that these types of issues can happen, but I find it incredibly frustrating and concerning. I expect better from a reputable bank like yours.

I would like to request that you investigate this matter thoroughly and take appropriate action to ensure that it does not happen again in the future. I also ask that you provide me with regular updates on your progress in addressing my concerns.

Thank you for your attention to this matter.

Sincerely,
[Your Name]",1.0,3.0,,2.0,3.0,2.0,1.0,2.0,3.0
"On Monday, XX/XX/2023, a Wells Fargo agent called me to inform me of suspicious activities in my account. He explained that he needed to verify certain transactions, and we went through each of the ten transactions individually. During this review, we identified three unauthorized withdrawalstwo of {$500.00} each and one of {$200.00}, all from non-Wells Fargo ATMs. The total amount of these unauthorized transactions was {$1400.00}. The agent asked me to confirm if my debit card was in my possession, but upon checking, I realized that I had misplaced it. When I informed him of this, he asked if I had allowed anyone else to use my debit card, to which I replied in the negative. 

As a precaution, the agent decided to deactivate my card and arrange for a replacement. During our conversation, I mentioned that I had recently sold my XXXX and had forgotten to factory reset it, potentially leaving personal information on the device. The agent filed a claim regarding this issue and assured me that I would receive my new card within 5 to 7 days. Additionally, he mentioned that they would provide an update on the claim status within 10 days. 

However, on Friday, XX/XX/XXXX, after about 10 days had passed, I had not received any updates on the status of my claim. Consequently, I decided to call Wells Fargo to inquire about the situation. To my surprise, they informed me that my claim had been denied, as they believed the unauthorized transactions were either made by me or someone I had given permission to. I vehemently explained that I had not authorized these transactions and reiterated the circumstances : the sale of my phone and the loss of my debit card. Unfortunately, they maintained their stance, stating that there was nothing further they could do to assist me.",2.0,3.0,"Dear Customer,

We are sorry to hear about the inconvenience and frustration you have experienced with your recent transaction issues. We understand that losing access to your bank account can be stressful and we take any allegations of fraudulent activity very seriously.

Regarding the transactions in question, we appreciate your cooperation and willingness to verify each one with us. We apologize for the delay in processing your claim and providing an update on its status. Rest assured that we are actively working to resolve this issue and have taken steps to prevent any future unauthorized transactions.

We understand that the misplacement of your debit card may have left personal information vulnerable, which is why we have filed a claim with the appropriate authorities and will provide you with a new card as soon as possible. Our fraud prevention team has been investigating this matter thoroughly and will continue to monitor your account closely for any suspicious activity.

We regret that our initial findings did not align with your expectations and apologize for any confusion or frustration caused. We value your business and appreciate the trust you have placed in us. Please know that we are committed to providing you with exceptional service and resolving this issue to your satisfaction.

If you have any further questions or concerns, please do not hesitate to contact us. We will be happy to assist you in any way we can.

Sincerely,

[Your Name]",2.0,2.0,,"Dear [Customer],

Thank you for taking the time to bring your recent experience with our bank to our attention. We are sorry to hear that you have had a negative experience with one of our agents regarding an unauthorized transaction on your account.

We understand how frustrating it can be to deal with unexpected issues, especially when it comes to your financial information. Please know that we take all complaints seriously and want to assure you that we are committed to resolving this matter in a timely and satisfactory manner.

After reviewing the situation, we have determined that the unauthorized transactions were likely made by someone who had access to your debit card, either through theft or misplacement. As such, we have taken steps to ensure that your account is secure and that any future unauthorized transactions will be detected and prevented promptly.

We apologize for any inconvenience this may have caused you and want to assure you that we are working diligently to process your claim for a replacement debit card as soon as possible. We understand the importance of maintaining access to your financial information, and we are committed to providing you with the support you need to get back on track.

Again, please accept our sincerest apologies for any frustration or inconvenience this may have caused you, and know that we are here to help. If you have any further questions or concerns, please do not hesitate to contact us.

Sincerely,
[Your Name]",1.0,3.0,,2.0,3.0,2.0,2.0,2.0,1.0
