,Original Complaint,Tone Severity,Case Severity,Sentiment Analysis - Original Tone,Sentiment Analysis - Original Case,Escalated Complaint (Case Increased),Tone Severity - Constant,Case Severity - Increased,Sentiment Analysis - Complaint 1 Tone,Sentiment Analysis - Complaint 1 Case,Escalated Complaint (Tone Increased),Tone Severity - Increased,Case Severity - Constant,Sentiment Analysis - Complaint 2 Tone,Sentiment Analysis - Complaint 2 Case
74,Numerous amount takin off my card that I did not authorize.,2.0,3.0,,,,,,,,,,,,
75,"On Monday, XX/XX/2023, a Wells Fargo agent called me to inform me of suspicious activities in my account. He explained that he needed to verify certain transactions, and we went through each of the ten transactions individually. During this review, we identified three unauthorized withdrawalstwo of {$500.00} each and one of {$200.00}, all from non-Wells Fargo ATMs. The total amount of these unauthorized transactions was {$1400.00}. The agent asked me to confirm if my debit card was in my possession, but upon checking, I realized that I had misplaced it. When I informed him of this, he asked if I had allowed anyone else to use my debit card, to which I replied in the negative. 

As a precaution, the agent decided to deactivate my card and arrange for a replacement. During our conversation, I mentioned that I had recently sold my XXXX and had forgotten to factory reset it, potentially leaving personal information on the device. The agent filed a claim regarding this issue and assured me that I would receive my new card within 5 to 7 days. Additionally, he mentioned that they would provide an update on the claim status within 10 days. 

However, on Friday, XX/XX/XXXX, after about 10 days had passed, I had not received any updates on the status of my claim. Consequently, I decided to call Wells Fargo to inquire about the situation. To my surprise, they informed me that my claim had been denied, as they believed the unauthorized transactions were either made by me or someone I had given permission to. I vehemently explained that I had not authorized these transactions and reiterated the circumstances : the sale of my phone and the loss of my debit card. Unfortunately, they maintained their stance, stating that there was nothing further they could do to assist me.",2.0,3.0,,,,,,,,,,,,
76,"Issue with Ctibank which services Macy 's credit card On XX/XX/23 I called in a payment to Citibank in the amount of {$6100.00} using a Citizens bank check. On XX/XX/23, I mailed the same check by Priority mail after learning from Citizens that the bank check could only be processed in a physical format. On XX/XX/23 my Macy 's online statement showed a return check charge for {$30.00}. I called Citbank and spoke with rep XXXX who adjusted the return check charge. On XX/XX/23 my Macy 's online statement showed a balance of - {$12000.00}. I called Citibank and spoke with rep XXXX, then supervisor XXXX, then mgr XXXX who all verified the physical check was received on XX/XX/23 and was cashed on XX/XX/23 but they would hold both my return check and the physical check until XX/XX/23. They charged both payments against my account and would not apply the payment until XX/XX/23.",2.0,2.0,,,"Title: Unacceptable Experience with Citibank's Processing of Payments

Tone Severity: 2.0 (Moderately Harsh)
Event Severity: 3.0 (Severe)

Dear [Bank's Customer Service Manager],

I am writing to express my utmost dissatisfaction with the unacceptable experience I had with Citibank regarding the payment of my Macy's credit card. On [date], I called in a payment of $6,100 using a Citizens bank check and mailed it via Priority mail as instructed by the bank. However, my online statement showed a return check charge of $30 on [date]. After speaking with multiple representatives, including [representative's name], [supervisor's name], and [manager's name], I was assured that the payment was received and cashed on [date]. Nonetheless, my online statement showed a balance of -$12,000 on [date]. This is not only frustrating but also concerning, as it suggests that Citibank's systems are incapable of accurately processing payments.

My issue with Citibank is not just the inconvenience caused by their inefficiencies but also the blatant disregard for their customers' money and trust. It is unacceptable that after speaking with multiple representatives, I was told that my payment would be held until [date], threatening to further accrue interest and late fees. This is not a minor issue; it is a severe problem that has caused significant financial harm to me and many other customers who have been subjected to such treatment.

I expect immediate action to rectify this situation, including a full investigation into the cause of these errors, measures to prevent them from happening in the future, and compensation for the inconvenience, stress, and financial damage caused to my account. I will not hesitate to escalate this matter further and seek legal action if necessary.

Sincerely,
[Your Name]",2.0,3.0,,,"Sure, here's an example of a complaint letter to Citibank with a tone severity score of 2.0 and a case/event severity score of 3.0:

Dear Citibank Customer Service Team,

I am writing to express my extreme frustration and disappointment with the recent issues I have experienced with my Macy's credit card account. On [date], I made a payment of $6,100 using a bank check, which was processed successfully. However, I was informed by Citizens Bank that they only accept physical checks for processing. As a result, I mailed the check via Priority mail.

To my disbelief, my Macy's online statement showed a return check charge of $30 on [date]. When I contacted Citibank, representative XXXX adjusted the return check charge. However, what followed was a series of unacceptable actions by your bank. On [date], my Macy's online statement showed a balance of -$12,000. I immediately called Citibank and spoke to representatives XXXX, then supervisor XXXX, and finally mgr XXXX. They all confirmed that the physical check was received on [date] and cashed on [date]. However, they refused to apply the payment until [date]. In other words, my account was held hostage for over a week, with my credit card balance growing by the minute.

I find it absolutely appalling that a reputable financial institution like Citibank would treat its customers in such a manner. Not only did you fail to process my payment promptly, but you also failed to communicate the status of my account accurately. The customer service representatives I spoke with were unhelpful and unresponsive, refusing to take ownership of the issue or offer any solutions.

As a loyal customer with multiple accounts with Citibank, I expect better treatment than this. Your actions have caused me significant financial hardship and emotional distress. I demand that you take immediate action to rectify the situation by crediting my account with the payment amount and waiving any late fees or penalties incurred during this period.

Sincerely,

[Your Name]",3.0,2.0,,
77,"Consumer Financial Protection Bureau XXXX XXXX XXXXXXXX XXXX  XXXX, Iowa XXXX Subject : Appeal Regarding Unsatisfactory Veterinary Service Dispute with Chase Freedom Card I am writing to appeal to the Consumer Financial Protection Bureau for assistance with a recent transaction dispute on my Chase Freedom card. The transaction in question pertains to a service provided by a veterinarian for the treatment of my dog and cat. The transaction took place on XXXX of XXXX with XXXX XXXX for amount of XXXX dollars. 

Briefly summarized, my pets were administered steroid injections by this new veterinarian with the expectation that it would alleviate their symptoms, including itching, swelling, hotspots, biting, and licking paws. Sadly, three days post-treatment, not only have their symptoms persisted, but they have also significantly worsened. 

Given the lack of improvement and the deteriorating health of my pets, I contacted Chase Freedom 's customer service to dispute the charge, hoping for an understanding and resolution. However, their approach towards the situation was unyielding. They suggested I consult another veterinarian and produce a statement that confirms the ineffectiveness of the previous treatment. While I understand the need for verification, I found this requirement burdensome and potentially inconclusive. A secondary veterinarian, without prior knowledge of my pets ' condition pre-treatment, would be ill-equipped to provide a definitive comparative statement. 

Furthermore, I inquired if Chase would bear the costs for this secondary consultation since it was a condition they imposed, but this was declined. It feels unjust that, in seeking redress for a service that was ineffective, I am compelled to incur further expenses, with no guarantee that they would be recouped. 

It is important to understand that my dispute is not based on mere dissatisfaction but the tangible worsening of my pets ' conditions post-treatment. It is disheartening that the resolution offered involves additional financial and emotional stress for me. 

I kindly request the Consumer Financial Protection Bureau to intervene and guide this matter to a fair resolution. I genuinely believe that I should not be held accountable for charges related to services that not only failed to deliver their promised results but also led to further complications for my pets. 

Thank you for your time and attention to this matter. I trust in the CFPB 's mission to ensure consumers like myself are treated justly in financial dealings and look forward to your guidance. 

Sincerely, XXXX XXXX XXXX XXXX",2.0,2.0,,,"Subject: Urgent Appeal: Unacceptable Veterinary Service Dispute with Chase Freedom Card

Dear Consumer Financial Protection Bureau,

I am writing to appeal for urgent intervention regarding a recent transaction dispute on my Chase Freedom card. The transaction in question pertains to a service provided by a veterinarian for the treatment of my dog and cat, which has resulted in nothing short of a medical disaster. The transaction took place on XXXX of XXXX with XXXX XXXX for an amount of XXXX dollars.

To give you a brief background, my pets were administered steroid injections by this new veterinarian with the express expectation that it would alleviate their symptoms, including itching, swelling, hotspots, biting, and licking paws. However, three days post-treatment, not only have their symptoms persisted but have also significantly worsened. This is a clear indication that the treatment was ineffective and has caused more harm than good to my pets' health.

Despite my prompt and detailed dispute with Chase Freedom 's customer service, they have been completely unyielding and unwilling to take any responsibility for the inadequate service provided by their partner veterinarian. Their suggestion that I consult another veterinarian and provide a statement confirming the ineffectiveness of the previous treatment is nothing short of absurd and unreasonable. As a responsible pet owner, I cannot be expected to bear additional expenses for a second opinion when the first one was demonstrably flawed.

Moreover, their refusal to cover the costs of this secondary consultation is unjust and adds insult to injury. It is outrageous that Chase Freedom would expect me to pay for another veterinarian's opinion when they have already failed to provide the promised results. This is not a minor dispute but a grave injustice that demands prompt attention from the Consumer Financial Protection Bureau.

My pets' condition has deteriorated significantly since the ineffective treatment, and I cannot afford to waste any more time or resources on this matter. As a consumer, I am entitled to reliable and effective services provided by Chase Freedom 's partners. It is your duty to ensure that such standards are upheld and that consumers like myself are protected from financial and emotional harm caused by subpar veterinary care.

I urge you to take the following action:

1. Intervene immediately to address this unacceptable transaction dispute and provide a satisfactory resolution for my pets' medical issues.
2. Require Chase Freedom to cover all associated costs of secondary consultations with veterinarians who can competently assess my pets ' condition and provide appropriate treatment options.
3. Establish stricter standards for Chase Freedom 's partners in the veterinary industry to ensure that such calamitous errors do not occur in the future.
4. Provide restitution, including but not limited to covering all costs of my pets' ongoing treatment and any emotional distress caused by this unfortunate incident.

I trust that you will take these concerns seriously and demonstrate the CFPB 's commitment to upholding consumers' rights in financial matters. Your prompt attention to this matter would be greatly appreciated, as I am growing increasingly concerned about my pets' well-being and the injustice perpetrated by Chase Freedom 's carelessness.

Thank you for your time and consideration. I look forward to a swift resolution of this dispute.

Sincerely,

XXXX XXXX XXXX XXXX (Your name)",2.0,3.0,,,"Title: Rip-off by Chase Freedom Card - Disastrous Veterinary Service and Unfair Bargaining Tactics

To the Consumer Financial Protection Bureau,

I am writing to express my utter outrage and disappointment at the unacceptable service I received from Chase Freedom card. My pets, a dog and cat, underwent steroid injections at a veterinarian's office on XXXX of XXXX for an amount of $$$. Unfortunately, instead of improving their conditions as promised, they have only worsened post-treatment. Worse still, Chase Freedom 's customer service has been unyielding and unprofessional in handling my dispute, forcing me to incur unnecessary expenses and emotional stress.

The sheer incompetence and lack of empathy displayed by Chase Freedom 's representatives are appalling. When I contacted them regarding the ineffective treatment, they insisted that I consult another veterinarian to provide a statement confirming the treatment's failure. This requirement is not only burdensome but also potentially inconclusive, as a secondary veterinarian without prior knowledge of my pets ' condition may lack the necessary expertise to provide a definitive comparison. The fact that Chase Freedom declined to cover the costs for this unnecessary consultation is a deliberate attempt to exploit and take advantage of a loyal customer.

My appeal to Chase Freedom has been met with callous indifference, leaving me no choice but to escalate the matter to your esteemed organization. The injustice of being held responsible for charges related to services that have caused my pets more harm than good is patently unfair and requires immediate attention from the Consumer Financial Protection Bureau.

Chase Freedom 's unyielding stance on this matter has further exacerbated an already distressing situation. They seem more interested in protecting their own interests than providing a reasonable resolution for a customer who has been loyal and trustworthy. I demand that the CFPB take swift action to address this grievance and ensure that Chase Freedom card takes responsibility for their unethical practices and inadequate service delivery.

The severity of this case is 3.0, given the catastrophic consequences of Chase Freedom 's subpar service and its impact on my pets' well-being. The tone of the complaint is also 2.0, as it reflects a strong sense of frustration, disappointment, and indignation towards Chase Freedom 's unacceptable behavior.

I implore you to take prompt action to right this wrong and ensure that consumers like myself receive fair treatment from financial institutions that boast about serving their customers' needs. The Consumer Financial Protection Bureau's intervention in this matter is crucial to upholding ethical standards in the financial sector and fostering a more just and equitable environment for all.

Thank you for your attention, and I eagerly await a satisfactory resolution to this grievance.

Sincerely,

[Your Name]",3.0,2.0,,
78,I deposited XXXX into my account and the atm said it couldnt process it and it didnt want to give it back,2.0,2.0,,,"Sure, here's an example of a complaint for a banking issue with a tone severity score of 2.0 and an event severity score of 3.0:

Title: Frustrating ATM Experience Leaves Me Empty-Handed!

Dear [Bank Name],

I am writing to express my utmost frustration with my recent experience at one of your bank ATMs. Just last week, I attempted to deposit $500 into my checking account using an ATM at a local branch. To my surprise and dismay, the machine refused to process the transaction, and instead, it spat out my money without giving me any explanation!

Tone Severity Score: 2.0 (Somewhat Harsh)

I find it unacceptable that a bank with your reputation for excellent customer service would allow such a glaring issue to occur. It's not only inconvenient but also poses a significant risk of losing money or being robbed. I hope you take this matter seriously and take immediate action to address the problem.

Event Severity Score: 3.0 (Significant Impact)

As a loyal customer for over five years, I expect better treatment from your bank. This experience has left me feeling frustrated and betrayed, and I fear that it may be time to take my business elsewhere. I implore you to fix this issue promptly and ensure that no other customers suffer the same fate.

Sincerely,
[Your Name]",2.0,3.0,,,"Dear [Bank's Customer Service],

I am writing to express my extreme frustration with the recent experience I had at your bank. Specifically, on [date], I attempted to deposit [amount] into my account at an ATM, but it was rejected and could not be processed. Despite my repeated attempts to withdraw the funds, the machine continued to refuse to give them back to me.

As a customer of [Bank Name], I expect nothing but smooth and efficient transactions when using your services. However, my experience with the bank has been anything but that. The fact that an ATM cannot process a deposit is unacceptable, especially when it involves a significant amount of money. It's not only inconvenient but also raises serious concerns about the security and reliability of your systems.

I have had multiple instances where I have encountered problems with your bank, including unauthorized charges, delayed transactions, and now this most recent incident with the ATM. Each time, I have been met with a lackluster response from your customer service team, who seem more interested in blaming me than actually resolving the issue.

I demand that you take immediate action to address these problems and ensure that they do not occur again in the future. As a valued customer, I expect nothing but top-notch service and security when dealing with your bank. Failure to meet these basic standards will result in me taking my business elsewhere.

Case Severity Score: 3.0 (Severe)
Tone Severity Score: 2.0 (Harsh and Critical)

In conclusion, I expect a prompt resolution to this matter and a guarantee that such incidents will not happen again in the future. I hope you understand the gravity of my complaint and take it seriously. Thank you for your attention to this matter.

Sincerely,
[Your Name]",3.0,2.0,,
79,I dispute this debt a couple of times with expirian and they keep the same status when they didnt investigate it. This macys account on my expirian credit report.,2.0,2.0,,,"Sure, here's an example of a complaint letter that escalates the issue from a tone severity of 2.0 to a tone severity of 3.0 and a case severity of 3.0 based on the provided criteria:

To Whom It May Concern at [Bank Name],

I am writing to express my extreme frustration and disappointment with the lack of action taken by your bank in resolving a serious debt dispute issue that has been ongoing for months. Despite multiple attempts to dispute the debt through Expiran, the status remains unchanged, and this unfair mark remains on my credit report.

I have had several conversations with customer service representatives who failed to investigate the matter thoroughly and provide any meaningful solutions. It's clear that your bank is not taking this issue seriously or prioritizing its resolution. The constant silence from your end has left me feeling ignored, disrespected, and taken advantage of.

As a valued customer, I expect timely and effective communication from your bank regarding the status of my dispute and any necessary actions to resolve it. Instead, I have been met with indifference and inaction. The lack of transparency and accountability is unacceptable, and I demand that you take immediate action to address this issue.

I urge you to investigate this matter thoroughly, provide clear and timely updates on the status of my dispute, and rectify any errors or irregularities that have led to this prolonged debacle. Your prompt attention to this matter is essential to rebuilding trust and maintaining a positive relationship between us.

Sincerely but forcefully,
[Your Name]

Tone Severity: 3.0 (Extremely Harsh and Confrontational)
Case Severity: 3.0 (Serious Issues with Significant Impact on Customer Experience)",2.0,3.0,,,"Subject: Escalation of Debt Dispute with Unfair Treatment by Macy's Credit Card Account

Dear [Bank's Customer Service],

I am writing to escalate my previous complaints regarding the debt dispute with Macy's credit card account. Despite my repeated attempts to resolve this issue, I have been met with nothing but empty promises and a blatant disregard for my concerns. As a valued customer of your esteemed bank, I demand a more satisfactory resolution to this matter, which I will now detail below:

Tone Severity: 2.0 (Harsh and Critical)

Event/Case Severity: 3.0 (Severe Impact on Customer Experience)

Complaint Summary:
I have been dealing with Macy's credit card account for several months, and during this time, I have encountered numerous issues that have caused significant inconvenience to my financial well-being. Despite bringing these problems to your attention via previous complaints, the situation has only worsened, leaving me with no alternative but to escalate the matter further.

Key Points:

1. Unfair Treatment: My debt disputes with Macy's credit card account have been consistently ignored and dismissed by your customer service representatives. This lack of concern for my issue has resulted in unnecessary stress, wasted time, and damaged trust in your bank's ability to provide adequate support.
2. Inconsistent Communication: The communication from Macy's credit card account has been inconsistent, often failing to address the core issues or provide clear instructions on how to proceed. This lack of clarity has led to further frustration and confusion, as I have found myself spending more time and effort trying to resolve a problem that should have been resolved promptly by your bank's representatives.
3. Unresolved Debt Disputes: Despite my repeated attempts to dispute the outstanding debts with Macy's credit card account, none of these disputes have been satisfactorily resolved. The status remains unchanged, leaving me with a tarnished credit score and heightened financial anxiety.
4. Inadequate Customer Service: Your bank's customer service representatives have displayed an alarming lack of professionalism and competence in handling my debt disputes with Macy's credit card account. The unacceptable behavior exhibited by your staff has led me to question the quality of service offered by your financial institution, ultimately undermining the trust I once had in your bank.
5. Severe Impact on Credit Score: Due to the ongoing debt dispute saga with Macy's credit card account, my credit score has suffered significantly, which has resulted in increased borrowing costs and diminished financial opportunities. This unjustifiable impact on my creditworthiness is a direct result of your bank's failure to adequately address this issue, leaving me feeling betrayed and disillusioned with the level of service offered by your institution.

Conclusion:
I urge you to take immediate action to resolve these issues and provide a satisfactory solution that reflects the severity of the problems I have encountered with Macy's credit card account. As a valued customer, I expect a higher standard of service from your bank, one that prioritizes my financial well-being and provides a comprehensive resolution to this debt dispute saga. Failure to address these concerns will result in a permanent loss of trust and loyalty, as well as the possibility of seeking legal action to protect my rights as a customer.

Sincerely,

[Your Name]",3.0,2.0,,
80,"I have carefully reviewed my credit report in XXXX. I have been turned down for a credit due to mis-reporting information, I have found inaccuracies that should be immediately investigated. I have complete knowledge of the Fair Credit Reporting Act and understand that these companies have a responsibility to notify me prior to or no later than 30 days of such negative activity reporting against meXXXX XXXX XXXX XXXX XXXX XXXX WELLS FARGO CARD SER XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  and XXXX XXXX XXXX",2.0,2.0,,,"Sure, here's an example of a complaint letter that escalates the issue to a case severity of 3.0 and a tone severity of 2.0:

[Your Name]
[Your Address]
[City, State, ZIP Code]
[Email Address]
[Phone Number]
[Date]

Wells Fargo Customer Service
1000 Main Street, San Francisco, CA 94118-2738

Dear Sir/Madam,

I am writing to express my extreme dissatisfaction with the inaccurate information reported on my credit report by Wells Fargo Card Services. On [date], I requested a copy of my credit report from Wells Fargo, and to my utter dismay, I found several errors and misinformation that have caused me significant harm to my credit score.

Despite my diligent efforts to rectify these issues with the bank, I was recently denied credit due to the inaccurate information reported on my credit report. This is unacceptable and has caused me immense frustration, given the importance of maintaining a good credit score for financial stability. The fact that Wells Fargo has failed to address these errors in a timely and effective manner is nothing short of negligent and constitutes a blatant disregard for their customers' well-being.

I demand immediate action to rectify this situation. I expect Wells Fargo to take the following steps:

1. Immediately correct all inaccuracies on my credit report, including [list specific errors and their corrections].
2. Provide me with a detailed explanation of how these errors occurred and what measures Wells Fargo will take to prevent such incidents in the future.
3. Offer compensation for any financial losses incurred as a result of these errors, including but not limited to any late fees, penalties, or other costs associated with the inaccurate reporting of my credit information.
4. Provide me with a written assurance that Wells Fargo will take all necessary steps to ensure the accuracy and integrity of my credit report going forward.

I expect a prompt response from Wells Fargo regarding their actions to rectify this situation. If I do not receive satisfactory resolution within 15 days of this letter, I will be forced to seek legal action and file complaints with regulatory bodies to protect my rights as a customer and to ensure that Wells Fargo takes responsibility for their unacceptable behavior.

Sincerely,

[Your Name]",2.0,3.0,,,"Sure, here's an example of a complaint letter that escalates the issue to a case severity of 3.0 and a tone severity of 2.0:

[Your Name]
[Your Address]
[City, State ZIP Code]
[Email Address]
[Phone Number]

[Date]

Wells Fargo Customer Service
1000 Main Street
San Francisco, CA 94118-2035

Dear Wells Fargo Customer Service Team,

I am writing to express my utmost dissatisfaction with the inaccurate information reported on my credit report by your company. After thoroughly reviewing my report, I have discovered numerous errors and misinformation that have resulted in my being turned down for a credit product. This is unacceptable and has caused me significant financial harm.

I have extensive knowledge of the Fair Credit Reporting Act and understand that you are responsible for notifying me prior to or no later than 30 days of any negative activity reporting against me. However, this did not occur, and as a result, I was denied credit. This is not only a violation of my rights but also a blatant disregard for the law.

I demand that you take immediate action to rectify this situation. I expect a thorough investigation into these inaccuracies and any unlawful reporting to be stopped immediately. I also request that you provide me with written documentation confirming the correction of these errors and any steps taken to prevent such incidents in the future.

I will not tolerate any further misconduct from your company, and I expect a full resolution to this matter as soon as possible. If I do not receive a satisfactory response within 10 business days, I will be forced to seek legal action and file a complaint with the Federal Trade Commission.

Sincerely,

[Your Name]

Tone Severity: 2.0

Event Severity: 3.0",3.0,2.0,,
81,"XX/XX/XXXX Citibank lowered my credit from {$11000.00} to {$3000.00}. Stating, XXXX reported I was delinquent on an account. Citi now reporting my credit score is no XXXX. XX/XX/XXXX, I provided documents to XXXX clarifying the delinquency. XX/XX/XXXX XXXX raised my credit score right back to XXXX. From XX/XX/XXXX to date, I have contacted CITI bank and asked them to correct my credit score and give me back my higher limit. XX/XX/XXXX with Citibank a supervisor ( won't give me their name ) place my COMPLANT about my credit score. XX/XX/XXXX I faxed a company of the XXXX XXXX XXXX and report showing it was XXXX. XX/XX/XXXX XXXX a letter declined. Called Citi XX/XX/XXXX and again told them the credit score is wrong. Then again on XX/XX/XXXX, XX/XX/XXXX i placed complaints Citi is reporting the wrong credit score. Citi would tell me they would check with XXXX and other agents would tell me theres nothing they can do. XXXX I called XXXX and they validated the scores of XXXX, then XXXX have been sent to the credit card and validated that Citi has NOT pulled any credit on my in 8 months. So they lied!! 
Attached is XXXX imagens from right from XXXX. Notices the scores, and dates. Also the bottom right shows todays date. More importantly, the second XXXX score states, up XXXX point from the previous months score. Proving that back in XXXX my score was XXXX which Citi shows it wasnt. They are not reporting my credit correctly",2.0,2.0,,,"Sure, here's an example of a complaint letter for the scenario you provided:

To Whom It May Concern at Citibank,

I am writing this letter to express my extreme frustration and disappointment with the unacceptable actions taken by your representatives. On XX/XX/XXXX, my credit score was erroneously lowered from $11,000 to $3,000 without any legitimate reason or evidence. Despite providing documentation to clarify the delinquency, your representatives continued to reported an incorrect credit score, causing me immense harm to my creditworthiness and financial stability.

Through multiple attempts to contact Citi's customer service and supervisors, I have been met with nothing but apathy and disregard for my situation. On XX/XX/XXXX, I was promised that an investigation would be conducted and my complaint would be taken seriously, but instead, I received a generic letter denying my claim and offering no resolution. The lack of accountability and transparent communication from your representatives is appalling and unacceptable.

As of today's date, my credit score remains incorrect, and I have been unable to resolve this issue despite numerous attempts to do so. It is clear that Citi has not only damaged my credit but also failed to uphold its responsibility in maintaining accurate and reliable credit reporting. Your actions have caused me significant financial hardship and emotional distress, and I demand a full explanation and resolution of this matter immediately.

Based on the above details, I rate the tone severity as 2.0, indicating a harsh and critical tone, and the event severity as 3.0, indicating a severe issue that has had a significant impact on my overall experience with Citibank. I expect a prompt and satisfactory resolution to this matter, including restoration of my correct credit score and any necessary compensation for the harm caused by your representatives' negligence and unprofessionalism.

Sincerely,
[Your Name]",2.0,3.0,,,"Sure, here's an example of a complaint letter for the above scenario with a tone severity score of 2.0 and a case severity score of 3.0:

[Your Name]
[Your Address]
[City, State ZIP Code]
[Email Address]
[Phone Number]
[Date]

[Recipient's Name]
[Recipient's Title]
Wells Fargo Bank
[Wells Fargo Address]
[City, State ZIP Code]

Dear [Recipient's Name],

I am writing to express my extreme dissatisfaction with the service I have received from Wells Fargo Bank. Despite providing detailed documentation and evidence to rectify an incorrect credit score reported by your bank, I have been met with nothing but empty promises and a lack of action.

On [date], I contacted Citi Bank regarding the incorrect reporting of my credit score. I provided documents that proved the delinquency was due to XXXX, not me. However, instead of correcting the error, Citi lowered my credit score from $11,000 to $3,000. This is a severe issue that has significantly impacted my overall experience with the bank.

Since then, I have reached out to various representatives at Wells Fargo on multiple occasions, only to be met with an uncooperative and dismissive attitude. On [date], a supervisor (whose name I was not provided) supposedly reviewed my complaint but failed to take any meaningful action. The letter I received from XXXX on [date] was nothing more than a empty apology, as they refused to validate the scores from XXXX and other agents continued to tell me there was nothing they could do.

I find it appalling that Wells Fargo would report incorrect credit scores and fail to take responsibility for their mistake. I demand that your institution takes immediate action to correct this error and restores my credit score to its rightful position. The fact that you have not done so yet is a clear indication of your unacceptable customer service standards.

I expect a prompt resolution to this matter. If I do not receive a satisfactory response within the next 14 days, I will be forced to take my business elsewhere and report Wells Fargo to the relevant regulatory agencies.

Sincerely,

[Your Name]",3.0,2.0,,
82,"On XX/XX/2022, my Checking account with Wells Fargo was incompetent, as I was experiencing fraud. They had stolen more than {$2000.00} out of my checking account through Wells Fargo. Wells Fargo did not even alert me of this big purchase, I had found out myself by checking my bank account at a random time. It was devastating cause they had did it twice, stolen {$2000.00} out of my account twice, and I wasnt alerted both times. It took quite a while to figure this out with Wells Fargo, but luckily the credited my stolen money back.",2.0,3.0,,,,,,,,,,,,
83,In accordance with the Fair credit Reporting Act this creditor has violated my right under 15 USC 1681 section 602 state i have the right to privacy 15 USC 1681 section 604 A section 2 in it also state a consumer reporting agency can not furnish an account without my written instructions under 15 USCS 1666b a creditor may not treat a payment on credit card account under an open end comsumer credit plan as late for any purpose.,2.0,2.0,,,"Title: Wells Fargo's Willful Disregard for My Privacy and Credit Rights

Tone Severity: 2.0
Event Severity: 3.0

To Whom It May Concern at Wells Fargo,

I am writing to express my utmost frustration and disappointment with the flagrant disregard your institution has shown towards my privacy and credit rights. As a long-standing customer, I have consistently received subpar service and blatant violations of my personal information's protection. Most recently, Wells Fargo has engaged in illegal activities that have caused significant harm to my credit score and financial well-being.

On [date], I made a payment on one of my credit card accounts under an open-end consumer credit plan. However, despite following the instructions stated in 15 USCS 1666b, Wells Fargo chose to treat this payment as late without any reasonable explanation. This willful neglect has resulted in unnecessary and avoidable damage to my credit score, hindering my ability to secure credit in the future.

Furthermore, I have found it appalling that Wells Fargo has consistently disregarded my privacy rights under 15 USC 1681 section 602. Your institution has failed to maintain the strict confidentiality required by law, opting instead to recklessly share my personal information with third-party vendors and agents without proper authorization. This blatant disregard for my right to privacy is unacceptable and demands stern action towards corrective measures.

In light of these egregious offenses, I urge you to take immediate action to address the following:

1. Provide a detailed explanation as to why Wells Fargo chose to treat my payment as late despite my explicit instructions under 15 USCS 1666b.
2. Establish measures to rectify the damage caused by these actions and improve your institution's adherence to credit reporting laws.
3. Provide assurances that my personal information will be handled in accordance with the Fair Credit Reporting Act and maintain strict confidentiality as required by law.
4. Subject Wells Fargo representatives to mandatory training on privacy protection, credit rights, and compliance with relevant laws and regulations.
5. Implement a comprehensive review process to identify and address any further violations of my privacy and credit rights.

I expect a swift resolution to these issues and an acknowledgment of Wells Fargo's responsibility in rectifying the harm caused by their blatant disregard for my privacy and credit rights. If these demands are not met, I will be forced to escalate this matter further and seek legal action against your institution.

Sincerely,
[Your Name]",2.0,3.0,,,"Subject: Severe Violation of My Right to Privacy and Inaccurate Credit Reporting by [Bank Name]

Dear [Bank Manager's Name],

I am writing to express my utmost dissatisfaction and frustration with the unacceptable actions taken by your bank, [Bank Name], in violation of my privacy rights under the Fair Credit Reporting Act (FCRA). I have reason to believe that the bank has repeatedly disclosed my personal and financial information without my explicit consent, resulting in an inaccurate credit report.

Tone Severity: 2.0

Event/Case Severity: 3.0

To begin with, I have been a loyal customer of [Bank Name] for several years, and I expect nothing but the highest level of professionalism and respect for my privacy. However, I have encountered numerous instances where the bank has disclosed my personal information to unrelated third parties without my consent. Specifically, I have received calls from collection agencies regarding debts that I do not owe, and I have discovered unauthorized inquiries on my credit report. These incidents are a clear violation of my right to privacy under 15 USC 1681 section 602, which states that I have the right to privacy regarding my consumer credit information.

The most egregious example of this violation occurred when [Bank Name] furnished an account without my written instructions, in direct contradiction of 15 USCS 1666b. This flagrant disregard for the law has caused me significant harm, as I have experienced a lengthy and unjustified damage to my credit score due to these inaccurate reportings.

Furthermore, I am appalled by the bank's lack of transparency and accountability regarding their actions. Despite numerous attempts to address this issue with the bank's customer service representatives, I have been met with dismissive attitudes and unhelpful responses. It is abundantly clear that [Bank Name] does not take seriously its obligations under the FCRA or provide adequate support to its customers.

I demand immediate action from your institution to rectify this situation. Specifically, I request that you:

1. Provide a detailed explanation for each instance of unauthorized disclosure of my personal and financial information.
2. Remove any inaccurate or unverifiable information from my credit report, including those resulting from the bank's violation of FCRA.
3. Offer a sincere apology and compensation for the significant harm caused by the bank's actions.

I expect prompt resolution to these issues, as I will not tolerate further breaches of my privacy or injustices resulting from [Bank Name]'s unacceptable practices. Your immediate attention to this matter is crucial to maintaining your customers' trust and upholding the highest ethical standards within the banking industry.

Sincerely,

[Your Name]",3.0,2.0,,
